episode_id,seed,split,excited,true_power0_pu,true_ramp0_pu_per_s,true_delay0_s,power_covered,ramp_covered,delay_covered,all_dimensions_covered,false_optimism,excitation_sufficient,delay_width0_s,power_width0_pu,delay_candidate_count0,grid_model_count,grid_nonempty,grid_change_reset_seen,samples
A2-V-284,284,validation,True,0.07185783978652373,0.06909833356923054,0.2413067707384162,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-285,285,validation,True,0.07800313735401397,0.06574824974735295,0.6738286352810685,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-286,286,validation,True,0.07151379778129381,0.06003363409338733,1.0937602852050823,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-287,287,validation,True,0.08463722667745624,0.054282237215703674,1.3637755124862903,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-288,288,validation,True,0.0870526627473441,0.04415494325006392,0.6120251037274498,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-289,289,validation,True,0.06490804606604189,0.05407887908517365,0.44883880373008866,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-290,290,validation,False,0.06464774815183227,0.03145244716388623,0.525886124161737,True,True,True,True,False,False,1.5,0.09833083482805176,31,14,True,False,480
A2-V-291,291,validation,False,0.07049589021450751,0.05541374561601853,0.8773147248160373,True,True,True,True,False,False,1.5,0.09833654493710772,31,14,True,False,480
A2-V-292,292,validation,False,0.058552772382002335,0.05072455411057132,0.250898019719105,True,True,True,True,False,False,1.5,0.09831529817700843,31,14,True,False,480
A2-V-293,293,validation,False,0.08210486888139257,0.062093986775437864,1.2551913317430186,True,True,True,True,False,False,1.5,0.09832464495318703,31,14,True,False,480
A2-V-294,294,validation,False,0.0825014775749704,0.07630249092166864,1.354544109684958,True,True,True,True,False,False,1.5,0.09832520595466729,31,14,True,False,480
A2-V-295,295,validation,False,0.054922351545922114,0.05766348096715118,1.3476337200998916,True,True,True,True,False,False,1.5,0.09832282014220722,31,14,True,False,480
A2-V-296,296,validation,False,0.05454587106505193,0.07620939595524015,0.6068159703227818,True,True,True,True,False,False,1.5,0.09832356659911484,31,14,True,False,480
A2-V-297,297,validation,False,0.06136957774922301,0.047062850790884736,0.3613577087472957,True,True,True,True,False,False,1.5,0.09832331470977163,31,14,True,False,480
A2-V-298,298,validation,False,0.05412052773757754,0.06385017394279696,0.7431269853749869,True,True,True,True,False,False,1.5,0.0983068413023511,31,14,True,False,480
A2-V-299,299,validation,False,0.05934639625018524,0.03794192275949936,1.2049838419007044,True,True,True,True,False,False,1.5,0.09836489606910934,31,14,True,False,480
