scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,nominal_warmup_s,capability_change_time_s,load_event_time_s,timing_relation,load_area,load_sign,initial_soc,known_ood,contract_violation,factor_assignment,method,physical_success,hard_violation,terminal_recovery,frequency_peak_hz,ace_iae_pu_s,tie_iae_pu_s,sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,controller_calls,attempted_optimization_calls,fallback_calls,restoration_calls,p99_solve_time_s,true_capability_read_by_ordinary_controller,evaluation_only_truth_used,full_rolling
A1-D-012,development,218,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,104.32450465012673,90.32450465012673,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.3121973652963228,0.8743006065859507,0.156995088925132,0.1989772691222064,3.186960191061926,151,151,0,0,0.0861581999988629,False,True,True
A1-D-013,development,219,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,100.2742929540174,100.2742929540174,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.3186367483956294,0.9724666560209216,0.2001517259134287,0.2373815927853191,2.3794068593654205,151,151,0,0,0.095552349999707,False,False,True
A1-D-013,development,219,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,100.2742929540174,100.2742929540174,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.3186369579136529,0.9724377797590964,0.2001552076796509,0.2373764137535267,2.3793831932175573,151,151,0,0,0.0967205000006288,False,True,True
A1-D-014,development,220,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,128.68399742917606,142.68399742917606,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.3113397357492009,0.962369692604938,0.1960632314533115,0.2343556815783658,1.6623660352485246,151,151,0,0,0.093595849999474,False,False,True
A1-D-014,development,220,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,128.68399742917606,142.68399742917606,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.311340560002439,0.962367728733676,0.1960885267170024,0.2343727933629642,1.6623635661429104,151,151,0,0,0.09247139999934,False,True,True
A1-D-015,development,221,A_full_nonlinear,ramp_drop,low,4.0,300.0,60.0,107.59388679367945,93.59388679367945,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.3153426062695805,1.1771962528401212,0.2237563568115703,0.3441732131459864,2.034292146901362,76,76,0,0,0.0871695000009822,False,False,True
A1-D-015,development,221,A_full_nonlinear,ramp_drop,low,4.0,300.0,60.0,107.59388679367945,93.59388679367945,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.3153426358949061,1.0157555456600635,0.1815290866307172,0.314976829957046,2.4691676150010777,76,76,0,0,0.0687269500003822,False,True,True
A1-D-016,development,222,A_full_nonlinear,ramp_drop,low,4.0,300.0,60.0,104.33454819568,104.33454819568,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.3197885206792248,1.1968471768389832,0.25155144496458,0.3419300224293877,1.9568449869163125,76,76,0,0,0.0959864000001289,False,False,True
A1-D-016,development,222,A_full_nonlinear,ramp_drop,low,4.0,300.0,60.0,104.33454819568,104.33454819568,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.3197885418496181,1.1968580279906966,0.2515656248789392,0.3419276491608559,1.9568312509469277,76,76,0,0,0.0936077750002368,False,True,True
A1-D-017,development,223,A_full_nonlinear,ramp_drop,low,4.0,300.0,60.0,114.27925383664387,128.27925383664387,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.3153426663335308,1.2143665152880496,0.2502433243443615,0.34848988598281,1.683529499605286,76,76,0,0,0.0913712500000656,False,False,True
