method,bayes_correct,hardest_alternative,likelihood_information_insufficient,mean_pairwise_jsd,posterior_true_mode,predictive_log_likelihood_margin,run_id,scenario_id,schema_version,seed,sg_level,switch_time_s,true_mode,window_s
P_old,False,unavailable,True,0.0379671858632299,0.0005232798332677032,-7.554870766148639,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003008,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3008,A,50.0,sluggish,10.0
P_old,True,derated,False,0.28076157555025943,1.0,51.144151841308116,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003008,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3008,A,50.0,sluggish,20.0
P_old,False,unavailable,True,0.030000010413194122,0.1568308550309452,-1.4381807227904169,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003009,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3009,A,50.0,sluggish,2.0
P_old,False,unavailable,True,0.02958821142991085,0.025112904029376337,-3.5855792049849526,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003009,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3009,A,50.0,sluggish,5.0
P_old,False,unavailable,True,0.029748777267002376,0.000761821998508814,-7.176321984629368,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003009,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3009,A,50.0,sluggish,10.0
P_old,True,derated,False,0.2532579236573141,1.0,49.19248345962146,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003009,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3009,A,50.0,sluggish,20.0
P_old,False,unavailable,True,0.031804763363970645,0.18592702893295107,-1.475192392893831,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003010,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3010,A,50.0,sluggish,2.0
P_old,False,unavailable,True,0.03750967574453492,0.019475315473995104,-3.9189399688383872,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003010,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3010,A,50.0,sluggish,5.0
P_old,False,unavailable,True,0.11781489879488807,6.776678516937254e-08,-16.507193588527713,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003010,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3010,A,50.0,sluggish,10.0
P_old,True,derated,False,0.3389400689647461,1.0,49.25243934200887,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003010,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3010,A,50.0,sluggish,20.0
