method,deadband_activation_fraction,delayed_command_differs_fraction,fixed_or_mean_delay_s,negative_saturation_fraction,positive_saturation_fraction,ramp_down_activation_fraction,ramp_up_activation_fraction,run_id,sample_count,scenario_id,schema_version,seed,sg_level,true_mode
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-A::S1_step_pos_002::B0::seed-003001,361,S1_step_pos_002,d5freq.phase_b1.compact_episode_audits.v1,3001,A,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-A::S1_step_pos_002::B0::seed-003002,361,S1_step_pos_002,d5freq.phase_b1.compact_episode_audits.v1,3002,A,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-A::S1_step_pos_002::B0::seed-003003,361,S1_step_pos_002,d5freq.phase_b1.compact_episode_audits.v1,3003,A,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-A::S1_step_pos_002::B0::seed-003004,361,S1_step_pos_002,d5freq.phase_b1.compact_episode_audits.v1,3004,A,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-A::S1_step_pos_002::B0::seed-003005,361,S1_step_pos_002,d5freq.phase_b1.compact_episode_audits.v1,3005,A,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-A::S1_step_pos_002::B0::seed-003006,361,S1_step_pos_002,d5freq.phase_b1.compact_episode_audits.v1,3006,A,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-A::S1_step_pos_002::B0::seed-003007,361,S1_step_pos_002,d5freq.phase_b1.compact_episode_audits.v1,3007,A,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-A::S1_step_pos_002::B0::seed-003008,361,S1_step_pos_002,d5freq.phase_b1.compact_episode_audits.v1,3008,A,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-A::S1_step_pos_002::B0::seed-003009,361,S1_step_pos_002,d5freq.phase_b1.compact_episode_audits.v1,3009,A,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-A::S1_step_pos_002::B0::seed-003010,361,S1_step_pos_002,d5freq.phase_b1.compact_episode_audits.v1,3010,A,nominal
