run_id,scenario_id,method,seed,sg_level,scientific_success,failure_stage,solve_time_mean_s,solve_time_p95_s,solve_time_max_s,solver_attempt_count,solver_fail_count,solver_timeout_count,solver_infeasible_count,wall_time_s,max_exact_mirror_error,mean_ibr_authority_ratio,solver_status_counts_json,solver_outcome_counts_json
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003006,S0_nominal_stochastic,B5,3006,A,True,,0.007818527499815294,0.011657985000783813,0.014197099997545592,360,0,0,0,5.965659699999378,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003007,S0_nominal_stochastic,B5,3007,A,True,,0.008104172222172364,0.011640125002668356,0.0595824000047287,360,0,0,0,6.226958799998101,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003008,S0_nominal_stochastic,B5,3008,A,True,,0.008220408055523067,0.012160225004117821,0.0606058999983361,360,0,0,0,6.26290130000416,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003009,S0_nominal_stochastic,B5,3009,A,True,,0.007530150555552003,0.009138174996769523,0.014273799999500625,360,0,0,0,5.927456199999142,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003010,S0_nominal_stochastic,B5,3010,A,True,,0.007957727222108385,0.011505409997698736,0.013998100002936553,360,0,0,0,6.084047700001975,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003011,S0_nominal_stochastic,B5,3011,A,True,,0.007620383611194686,0.010260959997322062,0.013231799995992333,360,0,0,0,5.883021599998756,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003012,S0_nominal_stochastic,B5,3012,A,True,,0.007661125833288275,0.010407680000207621,0.014241700002457947,360,0,0,0,5.9008138999997755,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003013,S0_nominal_stochastic,B5,3013,A,True,,0.0075599322222842606,0.00965402000001632,0.030727900004421826,360,0,0,0,5.750401100005547,0.0,,"{""optimal_discrete_shooting"": 2, ""optimal_idle_equilibrium_hold"": 358}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003014,S0_nominal_stochastic,B5,3014,A,True,,0.007998729444544652,0.01222237500405754,0.014965599999413826,360,0,0,0,6.160036599998421,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003015,S0_nominal_stochastic,B5,3015,A,True,,0.007937227222161407,0.01142963000056625,0.059312400000635535,360,0,0,0,6.044161599995277,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003016,S0_nominal_stochastic,B5,3016,A,True,,0.0077645288886439325,0.011516489996574819,0.014279299997724593,360,0,0,0,5.951617400001851,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003017,S0_nominal_stochastic,B5,3017,A,True,,0.007874347777578805,0.011662404999515276,0.014743400002771523,360,0,0,0,6.1293934999994235,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003018,S0_nominal_stochastic,B5,3018,A,True,,0.0077797827778946765,0.011066324999774228,0.015863299995544367,360,0,0,0,5.978201599995373,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003019,S0_nominal_stochastic,B5,3019,A,True,,0.007876477499950043,0.01202729499564157,0.01446130000113044,360,0,0,0,6.046304099996632,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003020,S0_nominal_stochastic,B5,3020,A,True,,0.01200846527772228,0.028222469998218005,0.03679040000133682,360,0,0,0,7.48866299999645,0.0,,"{""optimal_discrete_shooting"": 80, ""optimal_idle_equilibrium_hold"": 280}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003021,S0_nominal_stochastic,B5,3021,A,True,,0.007927181111254969,0.011034544999347423,0.0149883000049158,360,0,0,0,6.096516800003883,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003022,S0_nominal_stochastic,B5,3022,A,True,,0.008043492499847262,0.011428849997901126,0.05819530000007944,360,0,0,0,6.181712699995842,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003023,S0_nominal_stochastic,B5,3023,A,True,,0.008027515833156132,0.01200114500061318,0.015517299994826317,360,0,0,0,6.122204400002374,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003024,S0_nominal_stochastic,B5,3024,A,True,,0.007406605277740002,0.008055140000578831,0.05795149999903515,360,0,0,0,5.654843800002709,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
