scope,scenario_id,sg_level,metric,attempted_pair_union_count,finite_pair_count,mean_method,mean_reference,mean_difference,mean_relative_difference,relative_ci95_low,relative_ci95_high,sign_flip_pvalue,wilcoxon_pvalue
scenario,S1_step_neg_008,B,max_abs_freq_hz,30,30,0.33532290404922754,0.3197346476997887,0.01558825634943884,0.048753728948622614,0.04769393764978828,0.049829661343239136,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_neg_008,C,max_abs_freq_hz,30,30,0.3368445373435703,0.32507442067394415,0.011770116669626192,0.03620745257416561,0.03531480337546564,0.037112313836296,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_002,ALL,max_abs_freq_hz,90,90,0.082861559825606,0.08204642969440158,0.0008151301312044137,0.009943461386288783,0.0075603122661516775,0.012334791669834895,9.999000099990002e-05,1.0750046308657062e-10
scenario,S1_step_pos_002,A,max_abs_freq_hz,30,30,0.08248039350096187,0.0821700741516929,0.00031031934926895044,0.0037765494612561085,0.0003264950768024407,0.007288215779752207,0.044295570442955706,0.06989291124045849
scenario,S1_step_pos_002,B,max_abs_freq_hz,30,30,0.08266614245918472,0.08206690818523447,0.0005992342739502083,0.007301777137718739,0.003877653706781034,0.010548848541111237,0.0004999500049995,0.00012333691120147705
scenario,S1_step_pos_002,C,max_abs_freq_hz,30,30,0.0834381435166714,0.08190230674627731,0.0015358367703940826,0.0187520575598915,0.015313596155422144,0.022098393134955922,9.999000099990002e-05,3.725290298461914e-09
scenario,S1_step_pos_004,ALL,max_abs_freq_hz,90,90,0.16628015782498065,0.1632895912042302,0.0029905666207504346,0.01837631009066074,0.015649602418321234,0.021099507133685406,9.999000099990002e-05,6.607810164894809e-16
scenario,S1_step_pos_004,A,max_abs_freq_hz,30,30,0.1646341841336081,0.16374616523160251,0.000888018902005482,0.0054231431969687235,0.0035189435720988376,0.00726723025119967,0.00019998000199980003,1.3966113328933716e-05
scenario,S1_step_pos_004,B,max_abs_freq_hz,30,30,0.16656616927038836,0.16380461349255462,0.0027615557778337416,0.01685884004701285,0.01455878854705354,0.019115766662935303,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_004,C,max_abs_freq_hz,30,30,0.16764012007094545,0.16231799488853335,0.00532212518241208,0.03284694702800065,0.0296890754538189,0.03585828840415895,9.999000099990002e-05,1.862645149230957e-09
