run_id,scenario_id,method,seed,schema_version,run_completed,metrics_complete,scientific_success,success,failure_stage,failure_type,failure_message,catastrophic_failure,catastrophic_safety_boundary,catastrophic_solver_without_fallback,catastrophic_nan_detected,catastrophic_persistent_command_violation,catastrophic_not_recovered,max_abs_freq_hz,nadir_delta_hz,zenith_delta_hz,nadir_hz,zenith_hz,max_abs_rocof_hz_s,freq_iae,freq_ise,settling_time_s,settling_censored,settling_censoring_time_s,freq_violation_duration_s,rocof_violation_duration_s,constraint_violation_count,violation_duration_s,sg_mileage,ibr_mileage,ibr_tracking_error,sg_abs_energy_pu_s,ibr_abs_energy_pu_s,peak_abs_sg_command_pu,peak_abs_ibr_command_pu,responsibility_transfer_time_s,responsibility_transfer_censored,responsibility_transfer_censoring_time_s,fallback_duration_s,sg_command_violation_count,sg_command_violation_duration_s,max_contiguous_sg_command_violation_s,ibr_command_violation_count,ibr_command_violation_duration_s,max_contiguous_ibr_command_violation_s,solver_attempt_count,solve_time_mean_s,solve_time_p95_s,solve_time_max_s,solver_fail_count,solver_timeout_count,solver_timeout_rate,solver_infeasible_count,solver_infeasible_rate,solver_inaccurate_count,solver_inaccurate_rate,max_freq_slack_hz,max_rocof_slack_hz_s,max_power_slack_pu,mode_accuracy,macro_f1,detection_delay_s,detection_event_count,detection_censored_count,detection_censoring_time_s,false_alarm_rate,brier,nll,ece,ood_auroc,ood_auprc,ood_detected,ood_detection_delay_s,ood_detection_event_count,ood_detection_censored_count,ood_detection_censoring_time_s,diagnostic_risk_iae,oracle_regret,wall_time_s,stage,sg_level,truth_class,oracle_candidate_id,oracle_horizon_s,solver_tier,evidence_status
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003011,S5_multi_switch_stochastic,C1_true_arx_worst,3011,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.04858038382088941,-0.04858038382088941,0.02330451741411233,49.95141961617911,50.02330451741411,0.08968018641209485,0.7490573407332061,0.008266539978838307,0.0,False,45.0,0.0,0.0,0,0.0,0.8113174973375492,0.7283493792597631,0.35765630382258273,0.48481679094147867,0.35598740277990815,0.022690454411388682,0.03440791564163868,37.0,False,135.0,35.5,0,0.0,0.0,0,0.0,0.0,319,0.10422753260178885,0.10273287999516469,2.3598503999965033,3,3,0.009404388714733543,0,0.0,0,0.0,1.067542692023693e-07,3.3180437153390585e-07,3.196440961161673e-07,,,,0,0,,,,,,,,,,0,0,,,,41.94891020000068,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003012,S5_multi_switch_stochastic,C1_true_arx_worst,3012,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.06683284392855195,-0.06683284392855195,0.030125411827823502,49.93316715607145,50.030125411827825,0.07287065747452623,0.8038986931820253,0.010294574820717042,0.0,False,45.0,0.0,0.0,0,0.0,0.8209951053328765,0.7382604305118523,0.38588661017623316,0.4354723963765873,0.2988841722520418,0.029941420175942125,0.03252611763849198,0.5,False,135.0,41.0,0,0.0,0.0,0,0.0,0.0,309,0.1214977385115071,0.10724121999810449,2.552948500000639,4,4,0.012944983818770227,0,0.0,0,0.0,1.0478042289374656e-07,3.3000987420539474e-07,3.166932478058938e-07,,,,0,0,,,,,,,,,,0,0,,,,46.21119499999622,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003013,S5_multi_switch_stochastic,C1_true_arx_worst,3013,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.032616385150314536,-0.02626565316705213,0.032616385150314536,49.97373434683295,50.03261638515031,0.0476134742376843,0.7300034279494676,0.005991256929145386,0.0,False,45.0,0.0,0.0,0,0.0,0.788318937723318,0.6411889772225404,0.3719840607926721,0.46989385736827904,0.3160474507835308,0.024308306469176172,0.02516719777411509,46.0,False,135.0,41.0,0,0.0,0.0,0,0.0,0.0,309,0.12649402621359088,0.11336204000399447,2.5682320000050822,4,4,0.012944983818770227,0,0.0,0,0.0,1.0496469227128102e-07,3.300364412872625e-07,3.1643089511908304e-07,,,,0,0,,,,,,,,,,0,0,,,,48.087842900000396,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003014,S5_multi_switch_stochastic,C1_true_arx_worst,3014,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.024461844158393194,-0.02299891636520632,0.024461844158393194,49.977001083634796,50.024461844158395,0.056482500528385084,0.745580355173376,0.005644110151342593,0.0,False,45.0,0.0,0.0,0,0.0,0.7741893660028536,0.6741989057371239,0.3738160758236292,0.4544450723999731,0.3041011462189309,0.020687201765724895,0.020863960160433265,70.0,False,135.0,25.5,0,0.0,0.0,0,0.0,0.0,329,0.11085455957408707,0.11214222000417066,2.570576899997832,2,2,0.0060790273556231,0,0.0,0,0.0,1.0746942702422047e-07,3.324814231708828e-07,3.2038750932590656e-07,,,,0,0,,,,,,,,,,0,0,,,,45.75116160000471,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003015,S5_multi_switch_stochastic,C1_true_arx_worst,3015,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.019380960019968353,-0.019380960019968353,0.01770627534320999,49.980619039980034,50.01770627534321,0.03477132728273755,0.6588272235504633,0.004752614275526281,0.0,False,45.0,0.0,0.0,0,0.0,0.7829538209560867,0.5926903430388158,0.3366351391337042,0.4098245936158139,0.2660009399296289,0.019768510306779338,0.017990063424694433,7.0,False,135.0,35.5,0,0.0,0.0,0,0.0,0.0,319,0.10887870031361889,0.1109987000003457,2.3572989999956917,3,3,0.009404388714733543,0,0.0,0,0.0,1.0599919286757853e-07,3.312166655389248e-07,3.1969520326125254e-07,,,,0,0,,,,,,,,,,0,0,,,,44.09098619999713,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003016,S5_multi_switch_stochastic,C1_true_arx_worst,3016,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.04264869320538326,-0.04264869320538326,0.04143043321619885,49.957351306794614,50.0414304332162,0.09003297197621199,0.8202599091679678,0.009416977171868204,0.0,False,45.0,0.0,0.0,0,0.0,0.8703063599272044,0.8549477458653945,0.4280717097048621,0.44750746454622814,0.31375931814704294,0.022123203505868137,0.027930751973960756,47.5,False,135.0,35.5,0,0.0,0.0,0,0.0,0.0,319,0.10490178871451152,0.10303389000255266,2.4330727999986266,3,3,0.009404388714733543,0,0.0,0,0.0,1.430107567257366e-06,5.318506605567208e-06,5.364069533587395e-06,,,,0,0,,,,,,,,,,0,0,,,,42.178210600002785,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003017,S5_multi_switch_stochastic,C1_true_arx_worst,3017,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.03311975358504211,-0.03311975358504211,0.021501925299931262,49.96688024641496,50.02150192529993,0.06367671467750308,0.6977276431100689,0.005710650804493492,0.0,False,45.0,0.0,0.0,0,0.0,0.7959915139563432,0.659141839070767,0.3470433893952557,0.5075691109361562,0.2950337263691748,0.02961762690344367,0.027675873204628564,1.0,False,135.0,51.0,0,0.0,0.0,0,0.0,0.0,299,0.11885040066919712,0.10308694999912402,2.56715040000563,5,5,0.016722408026755852,0,0.0,0,0.0,1.0607786082861281e-07,3.3041947933298843e-07,3.1796389080936047e-07,,,,0,0,,,,,,,,,,0,0,,,,44.07017559999804,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003018,S5_multi_switch_stochastic,C1_true_arx_worst,3018,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.061979391011547265,-0.061979391011547265,0.048568063969923136,49.93802060898845,50.048568063969924,0.09546740762024304,0.8360279323550451,0.011493509439991306,0.0,False,45.0,0.0,0.0,0,0.0,0.9097292038628122,0.9903953519031805,0.4244415434075795,0.4530022952576297,0.35130879696352635,0.02912112379224867,0.04393056740919557,50.0,False,135.0,41.0,0,0.0,0.0,0,0.0,0.0,309,0.11866636860816274,0.10415849999844792,2.3519391999943764,4,4,0.012944983818770227,0,0.0,0,0.0,1.2359744699930175e-06,4.396721469013265e-06,4.4316101388310225e-06,,,,0,0,,,,,,,,,,0,0,,,,45.536425500002224,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003019,S5_multi_switch_stochastic,C1_true_arx_worst,3019,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.04604715569747636,-0.01863177477703197,0.04604715569747636,49.981368225222965,50.04604715569748,0.06858819334011783,0.7591807130898194,0.006996953149475961,0.0,False,45.0,0.0,0.0,0,0.0,1.0091986873971686,0.8683713488477386,0.4215551349311322,0.5303879233635236,0.36473866121152687,0.022688902411500813,0.03183657775593986,43.5,False,135.0,30.0,0,0.0,0.0,0,0.0,0.0,329,0.09009212583557248,0.10221886000217636,0.20727849999821046,2,2,0.0060790273556231,0,0.0,0,0.0,1.0684431606122757e-07,3.3208682415075685e-07,3.215544661286608e-07,,,,0,0,,,,,,,,,,0,0,,,,38.154544400000304,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003020,S5_multi_switch_stochastic,C1_true_arx_worst,3020,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.04137908616710166,-0.02018203362251056,0.04137908616710166,49.97981796637749,50.041379086167105,0.07824138899560272,0.7863238276073079,0.00737402171606584,0.0,False,45.0,0.0,0.0,0,0.0,0.7603684507688696,0.8080711796086839,0.38086685168146744,0.536220435707076,0.30724567220628585,0.020144698802637036,0.026604002312627023,58.0,False,135.0,45.5,0,0.0,0.0,0,0.0,0.0,309,0.10579841165067488,0.10761838000034912,2.3617646000056993,4,4,0.012944983818770227,0,0.0,0,0.0,1.1222405081889875e-06,3.3714252321015437e-06,3.3927296447831566e-06,,,,0,0,,,,,,,,,,0,0,,,,41.08753910000087,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003021,S5_multi_switch_stochastic,C1_true_arx_worst,3021,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.05236791798063094,-0.05236791798063094,0.02523617180093856,49.94763208201937,50.02523617180094,0.07481969242647368,0.7341218501516396,0.007615350088677798,0.0,False,45.0,0.0,0.0,0,0.0,0.8909213940296973,0.8098177092037818,0.40228761695401244,0.5244239022343906,0.39171529036430097,0.025571416142146048,0.03561358016452239,4.0,False,135.0,41.0,0,0.0,0.0,0,0.0,0.0,309,0.11625445210352758,0.10258211999898775,2.4394040999977733,4,4,0.012944983818770227,0,0.0,0,0.0,1.06243258746197e-07,3.311833391972385e-07,3.1937202061141083e-07,,,,0,0,,,,,,,,,,0,0,,,,44.561624199996004,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003022,S5_multi_switch_stochastic,C1_true_arx_worst,3022,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.02265494041570167,-0.02236732290423588,0.02265494041570167,49.97763267709576,50.0226549404157,0.06515523730167472,0.719181214556027,0.005267792768603516,0.0,False,45.0,0.0,0.0,0,0.0,0.9100323788027408,0.9065713491113825,0.4141966231507701,0.47169865555799867,0.33444252638983213,0.026460676878974364,0.026540648301140696,67.5,False,135.0,25.5,0,0.0,0.0,0,0.0,0.0,329,0.10540929513693806,0.10569609999947714,2.4784753999992972,2,2,0.0060790273556231,0,0.0,0,0.0,1.6629681831581422e-07,4.558155700662425e-07,5.451167354369105e-07,,,,0,0,,,,,,,,,,0,0,,,,43.25538910000614,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003023,S5_multi_switch_stochastic,C1_true_arx_worst,3023,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.03185172389468674,-0.031006788315278404,0.03185172389468674,49.96899321168472,50.03185172389469,0.06835246345192598,0.7401772472554395,0.006388196253204124,0.0,False,45.0,0.0,0.0,0,0.0,0.8404711280034913,0.8334415222880844,0.3873782907701746,0.3878184906784794,0.2750471598704821,0.01861162671258132,0.026146069632240344,60.5,False,135.0,35.5,0,0.0,0.0,0,0.0,0.0,319,0.10471288902843065,0.10511922999794478,2.255959399997664,3,3,0.009404388714733543,0,0.0,0,0.0,1.6605048969164926e-07,4.557080099942823e-07,5.45262388579616e-07,,,,0,0,,,,,,,,,,0,0,,,,42.06458379999822,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003024,S5_multi_switch_stochastic,C1_true_arx_worst,3024,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.024442996962604737,-0.024442996962604737,0.020960103939490146,49.975557003037395,50.02096010393949,0.052540543633538,0.7702424089392981,0.006068273390377698,0.0,False,45.0,0.0,0.0,0,0.0,0.9387025632062319,0.7842702300630698,0.4019121451774076,0.5067228404424277,0.3681778167376468,0.022453336727311864,0.02339202985961856,65.5,False,135.0,25.5,0,0.0,0.0,0,0.0,0.0,329,0.10599134954383085,0.10547490000171819,2.5560461999994004,2,2,0.0060790273556231,0,0.0,0,0.0,1.0609122957916384e-07,3.305909593853684e-07,3.169352316663995e-07,,,,0,0,,,,,,,,,,0,0,,,,43.605057300002954,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003025,S5_multi_switch_stochastic,C1_true_arx_worst,3025,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.034229281602097233,-0.02408538038748743,0.034229281602097233,49.97591461961251,50.034229281602094,0.07268679613931595,0.7150532314006348,0.00595742470381401,0.0,False,45.0,0.0,0.0,0,0.0,0.8490026230641643,0.7610543107460128,0.3852898976417246,0.5235982543826649,0.3598639012666418,0.027217749418521238,0.02380913990722426,53.5,False,135.0,35.5,0,0.0,0.0,0,0.0,0.0,319,0.10773848620685676,0.10578993999661178,2.4835992000007536,3,3,0.009404388714733543,0,0.0,0,0.0,1.0607478040380869e-07,3.318766088611369e-07,3.2021355722032393e-07,,,,0,0,,,,,,,,,,0,0,,,,43.1211758999998,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003026,S5_multi_switch_stochastic,C1_true_arx_worst,3026,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.024572183521770218,-0.024572183521770218,0.022935209167164614,49.97542781647823,50.022935209167166,0.055115859580206504,0.7399799923899539,0.005850207753607001,0.0,False,45.0,0.0,0.0,0,0.0,0.8057109206291148,0.6288316308787923,0.34720005983838925,0.4424481302032073,0.32183303176658257,0.021655021858472304,0.02039741718176379,37.0,False,135.0,25.5,0,0.0,0.0,0,0.0,0.0,329,0.10327708145911295,0.10195076000381958,2.295463899994502,2,2,0.0060790273556231,0,0.0,0,0.0,1.0762332303126954e-07,3.326361358579888e-07,3.2261634820411223e-07,,,,0,0,,,,,,,,,,0,0,,,,42.938762300000235,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003027,S5_multi_switch_stochastic,C1_true_arx_worst,3027,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.022539656479711102,-0.014819124656969763,0.022539656479711102,49.98518087534303,50.02253965647971,0.04042486658025818,0.6534990089896271,0.004374975392392448,0.0,False,45.0,0.0,0.0,0,0.0,0.80999669004881,0.6269428624443967,0.34213560969769286,0.4202456976356942,0.28298877619660523,0.021237912810976024,0.021719782289415242,19.0,False,135.0,35.0,0,0.0,0.0,0,0.0,0.0,319,0.10367445517260199,0.10476681000145617,2.391687399998773,3,3,0.009404388714733543,0,0.0,0,0.0,1.062049994615677e-07,3.3224880036097915e-07,3.208666445938956e-07,,,,0,0,,,,,,,,,,0,0,,,,41.82912589999614,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003028,S5_multi_switch_stochastic,C1_true_arx_worst,3028,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.03473376564649904,-0.02363167539746222,0.03473376564649904,49.97636832460254,50.0347337656465,0.06192260915835098,0.7052157608122067,0.006596665514794487,0.0,False,45.0,0.0,0.0,0,0.0,0.8081601970208121,0.5955095166336738,0.33659248775601774,0.476795278971498,0.335187686398291,0.03014172664688545,0.027776871012509377,42.5,False,135.0,35.5,0,0.0,0.0,0,0.0,0.0,319,0.10337589028198618,0.10317768999957479,2.3860215000022436,3,3,0.009404388714733543,0,0.0,0,0.0,1.0694395302657256e-07,3.311074791012558e-07,3.188496435335379e-07,,,,0,0,,,,,,,,,,0,0,,,,41.6777499000018,final,B,known,,,FINAL,canonical_episode
phase-b1::final::sg-B::S5_multi_switch_stochastic::C1_true_arx_worst::seed-003029,S5_multi_switch_stochastic,C1_true_arx_worst,3029,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.03978183933000607,-0.021221243613772534,0.03978183933000607,49.97877875638623,50.039781839330004,0.09026382949976067,0.7095859714686444,0.005842348345509725,0.0,False,45.0,0.0,0.0,0,0.0,0.8187601145314705,0.7360695982950541,0.33321632692890574,0.47610610367171285,0.28013427269991226,0.0217094576266783,0.020369823807378156,40.0,False,135.0,45.5,0,0.0,0.0,0,0.0,0.0,309,0.10398570711961906,0.1042823000010685,2.341721699995105,4,4,0.012944983818770227,0,0.0,0,0.0,1.0483920476200836e-07,3.358232661954119e-07,3.263679361032176e-07,,,,0,0,,,,,,,,,,0,0,,,,40.61138609999762,final,B,known,,,FINAL,canonical_episode
