scope,scenario_id,sg_level,factor,method,reference_method,metric,attempted_pair_union_count,finite_pair_count,mean_method,mean_reference,mean_difference,mean_relative_difference,relative_ci95_low,relative_ci95_high,sign_flip_pvalue,wilcoxon_pvalue
scenario,S6_sluggish_coincident_high_noise,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,1.476147126084201,2.8284873234152896,-1.3523401973310887,-0.47804385508484176,-0.4841429150261122,-0.4718526396769751,9.999000099990002e-05,1.862645149230957e-09
scenario,S6_sluggish_coincident_low_noise,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S6_sluggish_coincident_low_noise,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S6_sluggish_coincident_low_noise,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S6_sluggish_coincident_low_noise,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S6_sluggish_coincident_medium_noise,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S6_sluggish_coincident_medium_noise,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S6_sluggish_coincident_medium_noise,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S6_sluggish_coincident_medium_noise,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S7_ood_asymmetric_limit,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S7_ood_asymmetric_limit,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S7_ood_asymmetric_limit,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S7_ood_asymmetric_limit,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S8_ood_time_varying_delay,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S8_ood_time_varying_delay,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S8_ood_time_varying_delay,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S8_ood_time_varying_delay,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S9_compound_unavailable_double_step,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S9_compound_unavailable_double_step,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S9_compound_unavailable_double_step,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S9_compound_unavailable_double_step,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
overall,ALL,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,720,718,0.21668723562329906,0.21500393174230828,0.001683303880990814,0.02741877012651292,0.015422140888014763,0.041525052523380034,9.999000099990002e-05,2.284508854268375e-15
overall,ALL,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,240,240,0.21464835843676525,0.2138913277191511,0.0007570307176141364,-0.0004015886421709291,-0.014445606707458897,0.014763127612162473,0.041695830416958304,0.013297558998155847
