scope,scenario_id,sg_level,attempted_pair_union_count,finite_pair_count,b5_success_rate,physically_feasible,mean_b0_freq_iae,mean_b5_freq_iae,frequency_iae_improvement_fraction,frequency_iae_improvement_ci95_low,frequency_iae_improvement_ci95_high,max_frequency_worsening_fraction,max_frequency_worsening_ci95_low,max_frequency_worsening_ci95_high,sg_mileage_improvement_fraction,sg_mileage_improvement_ci95_low,sg_mileage_improvement_ci95_high,frequency_value_gate,resource_value_gate,materiality_gate_passed,iae_sign_flip_pvalue,iae_wilcoxon_pvalue,max_frequency_sign_flip_pvalue,max_frequency_wilcoxon_pvalue,sg_mileage_sign_flip_pvalue,sg_mileage_wilcoxon_pvalue
scenario,S1_step_neg_004,B,30,30,1.0,True,0.6874870166416179,1.1172427072484665,-0.6255654770734053,-0.741086404486819,-0.505924596955573,0.01901265274035491,0.018328845865950627,0.019722640892234147,0.6756436687166347,0.6681057563482851,0.6824791621718012,False,False,False,9.999000099990002e-05,2.551823854446411e-07,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_neg_004,C,30,30,1.0,True,1.0237600496045876,0.844887513155298,0.17448142999273036,0.1405801962039047,0.21253408327372408,0.010581503251649079,0.007704490918327298,0.013275524345842945,0.8042909605317939,0.800711532937798,0.8080544661069425,True,True,True,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,2.348795533180237e-06,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_neg_006,ALL,90,90,1.0,True,1.6062359819428114,0.8781529351225598,0.38296148119576395,0.34801348134878457,0.41804898443220845,0.012844372541048312,0.010851072545118714,0.014783734425254866,0.5867176638116067,0.5383407708442436,0.6318047153535434,True,True,True,9.999000099990002e-05,1.8034059447633587e-16,9.999000099990002e-05,1.2493858875771132e-12,9.999000099990002e-05,2.9802376999144246e-16
scenario,S1_step_neg_006,A,30,30,1.0,True,0.9623096746540781,0.7566105303154081,0.21375838977803135,0.19432293114448868,0.2365192897083286,0.019096833176798802,0.018640892696747555,0.019569644305182324,0.2966231312039106,0.235611422241414,0.3516724327767119,True,True,True,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,3.1478703022003174e-07
scenario,S1_step_neg_006,B,30,30,1.0,True,1.2467964208817872,0.824586301755754,0.3387382239083802,0.3065419166723677,0.35589139921608703,0.01967501254301934,0.01921587417926201,0.020150741909452968,0.7764973177196076,0.7744695172541116,0.778474742078588,True,True,True,9.999000099990002e-05,3.725290298461914e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_neg_006,C,30,30,1.0,True,2.60960185029257,1.053261973296517,0.5963878299008804,0.5825299659498517,0.6116078437287717,-0.00023872809667320688,-0.000842466549050708,0.0003975278762240545,0.6870325425113021,0.6809542182540222,0.6930680720454961,True,True,True,9.999000099990002e-05,1.862645149230957e-09,0.45365463453654636,0.308520769700408,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_neg_008,ALL,90,60,1.0,True,1.2384812904594977,0.9836320097608325,0.17765989899868123,0.13697070605589304,0.21771275201337467,0.005246753553901045,0.0016989476698715308,0.008819986943355161,0.4038530881506847,0.3772181413225811,0.42649129131156965,True,True,True,9.999000099990002e-05,1.7141493981716166e-11,0.0071992800719928,0.0009239298185665981,9.999000099990002e-05,1.6295557943119345e-11
scenario,S1_step_neg_008,A,30,30,1.0,True,1.4618329879873815,0.9743703120369333,0.33343798200889896,0.3268958893651689,0.33893869100247676,0.01926227429439866,0.018920276107689434,0.01961672347111148,0.35213213576882957,0.30764350224839504,0.3899137216344478,True,True,True,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_neg_008,B,30,30,1.0,True,1.015129592931614,0.9928937074847322,0.021881815988463522,0.018953316598834462,0.02435765914961972,-0.008768767186596573,-0.00921925513238614,-0.008296071820854508,0.45557404053253975,0.4497721709388638,0.46134421452624147,False,True,True,9.999000099990002e-05,3.725290298461914e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_neg_008,C,30,0,1.0,True,,,,,,,,,,,,False,False,False,,,,,,
scenario,S1_step_pos_002,ALL,90,90,1.0,True,0.34627913142863825,0.720009481365054,-1.0780582700825496,-1.2464676723989798,-0.9110023103357444,0.021991838330214356,0.021137402717932373,0.022821835271659655,0.6144844577009184,0.5585859845526122,0.6678685694899379,False,False,False,9.999000099990002e-05,1.2330743120758458e-15,9.999000099990002e-05,1.7437900167092118e-16,9.999000099990002e-05,1.7437900167092118e-16
scenario,S1_step_pos_002,A,30,30,1.0,True,0.33545048104900915,0.361811781693147,-0.07823023889034346,-0.1134704684338667,-0.029517312975491674,0.023547385386570387,0.02212733631576265,0.02491875345371738,0.2507584810160849,0.21248210752530206,0.2879420038562835,False,False,False,0.0010998900109989002,0.0001528710126876831,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_002,B,30,30,1.0,True,0.33545162030513925,1.0142298056425252,-2.024110927165646,-2.0411487919537388,-2.007888594122718,0.022262259572628774,0.02084403417905114,0.023631942917911226,0.7550935106892784,0.7513848129013568,0.7587187427183801,False,False,False,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_002,C,30,30,1.0,True,0.36793529293176647,0.7839868567594901,-1.13183364419166,-1.2117691466898735,-1.0483083349398867,0.02016587003144389,0.018751008389006105,0.021534319342496895,0.837601381397392,0.8317551192731136,0.8433510881249561,False,False,False,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_004,ALL,90,90,1.0,True,0.7779757095314866,0.8598684375232309,-0.14248116605429437,-0.22900502199464615,-0.05872126195882195,0.015575795968182603,0.01396619975137722,0.017094236442148227,0.6079590941064908,0.5672624214901373,0.647392382346914,False,False,False,0.012198780121987801,0.8991412809573028,9.999000099990002e-05,8.051656981348726e-16,9.999000099990002e-05,1.7437900167092118e-16
scenario,S1_step_pos_004,A,30,30,1.0,True,0.6244602730375192,0.5694784544485854,0.08798844968537732,0.08534990043460337,0.0905404671888211,0.019454544287981008,0.018746583977344574,0.020137901374645054,0.3429346616751761,0.33493841357131987,0.3508648589119499,False,True,True,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_004,B,30,30,1.0,True,0.6890485007347523,1.1571891724151726,-0.6794437177905776,-0.767672589323562,-0.5635009084702425,0.019776194101265524,0.01906736189647585,0.02046059617643918,0.6759028388560766,0.6696143890897263,0.6813436713525698,False,False,False,9.999000099990002e-05,2.60770320892334e-08,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_004,C,30,30,1.0,True,1.0204183548221888,0.8529376857059343,0.16401176994231711,0.1350260299563941,0.19978314469648367,0.0074966495153012775,0.004647687587237079,0.010471009623489558,0.80503978178822,0.8010720025435979,0.8093923287563777,True,True,True,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,3.453157842159271e-05,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_006,ALL,90,90,1.0,True,1.6060060207265923,0.8728671795409356,0.3844946583391096,0.3501742915788188,0.4193634871624381,0.01350379085136788,0.0115627404345251,0.015353191498094493,0.5778243373734258,0.5252227751966116,0.6261624027298226,True,True,True,9.999000099990002e-05,1.7437900167092118e-16,9.999000099990002e-05,9.664902916085119e-15,9.999000099990002e-05,5.602009369704894e-16
scenario,S1_step_pos_006,A,30,30,1.0,True,0.9638428346873376,0.7735312019040967,0.19744044695519858,0.18792407561296695,0.21079828409013351,0.019605877649861336,0.01913302944218799,0.02006208440933987,0.2698992816559345,0.19907989923905217,0.33329001557718135,True,True,True,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,7.994472980499268e-06
scenario,S1_step_pos_006,B,30,30,1.0,True,1.2481054958005027,0.8045420250296832,0.35536904418727483,0.352947262653474,0.357831685996237,0.02018804076953482,0.01971497241505997,0.020644458148010473,0.7760298423493442,0.773805238743848,0.7782339024913006,False,True,True,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_006,C,30,30,1.0,True,2.606069731691936,1.040528311689027,0.6006744838748556,0.5856351522221278,0.6184947470158938,0.0007174541347074926,8.34621701105251e-05,0.0013219172234014529,0.6875438881149983,0.680764424799244,0.6949311877318048,True,True,True,9.999000099990002e-05,1.862645149230957e-09,0.031596840315968405,0.023410143330693245,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_008,ALL,90,60,1.0,True,1.2379088156299525,0.981556486739579,0.1781465116547679,0.13658568281665562,0.21881634950042245,0.005793006445209171,0.002318759099894504,0.00930476292507592,0.41393158355071,0.3923624221298583,0.4318597679939033,True,True,True,9.999000099990002e-05,1.6295557943119345e-11,0.0029997000299970002,0.0009239298185665981,9.999000099990002e-05,1.6295557943119345e-11
scenario,S1_step_pos_008,A,30,30,1.0,True,1.4632243368033946,0.9700690531150573,0.33700824006992675,0.331589608224477,0.34100161631576476,0.019644077281896204,0.019289447852335984,0.019986225805959903,0.3729951619462986,0.33566148411806784,0.40226700861189413,True,True,True,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_008,B,30,30,1.0,True,1.0125932944565101,0.9930439203641007,0.019284783239609023,0.01720613805505535,0.02135012511525807,-0.008058064391477868,-0.008529543004460289,-0.007607248289955098,0.4548680051551216,0.44890042513371814,0.46085406886584174,False,True,True,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_008,C,30,0,1.0,True,,,,,,,,,,,,False,False,False,,,,,,
