method,candidate_set_contains_truth,classifier,diagnostic_declared_mode_change,event_time_s,false_mode_alarm_under_load,missed_mode_change,pre_mode,run_id,scenario_id,schema_version,seed,sg_level,target_mode_detected_within_20s,true_mode_after,true_source
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003026,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3026,A,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003026,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3026,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003027,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3027,A,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003027,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3027,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003028,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3028,A,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003028,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3028,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003029,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3029,A,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003029,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3029,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003000,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3000,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003000,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3000,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003001,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3001,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003001,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3001,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003002,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3002,B,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003002,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3002,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003003,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3003,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003003,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3003,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003004,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3004,B,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003004,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3004,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003005,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3005,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003005,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3005,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003006,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3006,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003006,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3006,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003007,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3007,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003007,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3007,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003008,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3008,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003008,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3008,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003009,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3009,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003009,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3009,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003010,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3010,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003010,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3010,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003011,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3011,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003011,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3011,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003012,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3012,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003012,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3012,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003013,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3013,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003013,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3013,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003014,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3014,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003014,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3014,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003015,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3015,B,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003015,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3015,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003016,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3016,B,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003016,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3016,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003017,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3017,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003017,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3017,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003018,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3018,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003018,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3018,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003019,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3019,B,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003019,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3019,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003020,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3020,B,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003020,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3020,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003021,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3021,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003021,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3021,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003022,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3022,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003022,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3022,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003023,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3023,B,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003023,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3023,B,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003024,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3024,B,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-B::S1_step_pos_006::P_old::seed-003024,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3024,B,False,nominal,load_only
