evidence_source,member_path,bytes,declared_sha256,actual_sha256,hash_match,retention
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,03_MODEL_AND_THEORY/model/PARAMETER_SOURCES.csv,2980,1695ffc4bc7451df7137c82bca73283ec08bc3e96dfe65542873c6cf56866059,1695ffc4bc7451df7137c82bca73283ec08bc3e96dfe65542873c6cf56866059,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,03_MODEL_AND_THEORY/ORACLE_AND_CONTROLLER_NOT_EVALUATED.md,711,967103871b4337800aa062ad1d20777495168db855a505a2049c69cce6e9ebfb,967103871b4337800aa062ad1d20777495168db855a505a2049c69cce6e9ebfb,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,03_MODEL_AND_THEORY/STRUCTURAL_NONIDENTIFIABILITY_CERTIFICATES.md,647,8e171cfc2a7d3ab1f27e379c6100c7d3507a1478cb2103e9cbac06e94fb1b19f,8e171cfc2a7d3ab1f27e379c6100c7d3507a1478cb2103e9cbac06e94fb1b19f,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,03_MODEL_AND_THEORY/THEORY_NOT_EVALUATED.md,376,df01b42b1162cea452e465be0edac254337b57b170d4020e12ca5e4c86cc9dd0,df01b42b1162cea452e465be0edac254337b57b170d4020e12ca5e4c86cc9dd0,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,03_MODEL_AND_THEORY/validation/CROSS_MODEL_COMPARISON.md,489,4f6bd5736f9dc63e6baddd35e04d3cd4db3568aa9667fe81f98e0d226af82e40,4f6bd5736f9dc63e6baddd35e04d3cd4db3568aa9667fe81f98e0d226af82e40,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,03_MODEL_AND_THEORY/validation/DATA_LEAKAGE_AUDIT.md,405,35399f639a72a97d1848c9807440c66826d68327d419a75cdb65f63ccb08ce46,35399f639a72a97d1848c9807440c66826d68327d419a75cdb65f63ccb08ce46,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,03_MODEL_AND_THEORY/validation/MODEL_VALIDATION_REPORT.md,382,9e31d641ca3063c0449364773fc3f1770c0e6e090d6e3a58b3fa86f71ed29ec2,9e31d641ca3063c0449364773fc3f1770c0e6e090d6e3a58b3fa86f71ed29ec2,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/pyproject.toml,1009,41fa0ab4e96f7c66639d84e2dd86c636b8caaa3bc66f8fb2ff026b11e76f3082,41fa0ab4e96f7c66639d84e2dd86c636b8caaa3bc66f8fb2ff026b11e76f3082,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/scripts/phase_d/d0_freeze_baseline.py,9732,6521d0738d38295d8541c6ebf963ea785a84114c8d997190919a81fcef5d5ee9,6521d0738d38295d8541c6ebf963ea785a84114c8d997190919a81fcef5d5ee9,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/scripts/phase_d/d1_literature.py,14010,60a261983df5ac4b2efb9e9325754d785feaecacc6a12a78d119582b5f347d62,60a261983df5ac4b2efb9e9325754d785feaecacc6a12a78d119582b5f347d62,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/scripts/phase_d/d2_finalize_cached.py,8890,cedb721eed16accf658c023953dc8ec3be3a5016de43edbaebfedb06d376f3ca,cedb721eed16accf658c023953dc8ec3be3a5016de43edbaebfedb06d376f3ca,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/scripts/phase_d/d2_validate_physics.py,23298,50c4c1b2d2540374ba2d0c39e88fbfe858bea805230eb8586ff2faee4f0868bb,50c4c1b2d2540374ba2d0c39e88fbfe858bea805230eb8586ff2faee4f0868bb,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/scripts/phase_d/d3_capability_gate.py,20943,efd172be2ddafe4a55d9f93eccfae885eb0989428085f54ae5dd766853d14947,efd172be2ddafe4a55d9f93eccfae885eb0989428085f54ae5dd766853d14947,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/scripts/phase_d/d7_lock_negative_protocol.py,12524,daf0f630d2ce86fd2216439e0b82b95e70a0c6222c1cbb869b8e72464c8997d7,daf0f630d2ce86fd2216439e0b82b95e70a0c6222c1cbb869b8e72464c8997d7,True,read_only_phase_d_archive
