period_s,horizon_s,objective,relative_sg_penalty,load_pu,contract_status,high_status,first_bess_action_difference_pu,contract_first_bess_pu,high_first_bess_pu
2.0,32.0,sg_conserving_4,4.0,0.025,optimal_inaccurate,optimal_inaccurate,4.905544657637928e-08,0.010521648443063017,0.01052159938761644
2.0,32.0,sg_conserving_4,4.0,0.03,optimal_inaccurate,optimal_inaccurate,4.9609878736284196e-08,0.012625867242438879,0.012625869156458688
2.0,32.0,sg_conserving_4,4.0,0.035,optimal,optimal_inaccurate,4.534318944621196e-08,0.01473025665052688,0.014730211307337433
2.0,32.0,sg_conserving_4,4.0,0.04,optimal_inaccurate,optimal_inaccurate,1.141314187082243e-07,0.01683459986159418,0.016834511769367264
2.0,32.0,sg_conserving_4,4.0,0.045,optimal_inaccurate,optimal_inaccurate,2.6184640238013923e-07,0.018938879284673624,0.018938739733024894
2.0,32.0,sg_conserving_4,4.0,0.05,optimal_inaccurate,optimal_inaccurate,1.684838544617484e-07,0.02104334878624888,0.021043207074690668
2.0,32.0,sg_conserving_4,4.0,0.055,optimal_inaccurate,optimal_inaccurate,1.9066920816518396e-08,0.0231475794415057,0.023147560374584885
2.0,32.0,sg_conserving_4,4.0,0.06,optimal_inaccurate,optimal_inaccurate,1.199591285368229e-07,0.025251964838236503,0.02525187564117317
2.0,32.0,sg_conserving_4,4.0,0.065,optimal_inaccurate,optimal_inaccurate,3.157704518003124e-08,0.02735619250964784,0.02735616093260266
2.0,32.0,sg_conserving_4,4.0,0.07,optimal_inaccurate,optimal_inaccurate,4.405286312250331e-05,0.029464217781550624,0.029460523097002218
2.0,32.0,sg_conserving_16,16.0,0.0,optimal_inaccurate,optimal,6.96848004611164e-09,8.323656882451134e-09,1.3151163578323178e-08
2.0,32.0,sg_conserving_16,16.0,0.005,optimal_inaccurate,optimal_inaccurate,1.385380211764431e-08,0.0033100629106102802,0.0033100490568081626
2.0,32.0,sg_conserving_16,16.0,0.01,optimal_inaccurate,optimal_inaccurate,9.382868405849454e-09,0.006620201313730305,0.006620194619068626
2.0,32.0,sg_conserving_16,16.0,0.015,optimal_inaccurate,optimal_inaccurate,1.6774278623413186e-07,0.0099303222357749,0.009930154492988666
2.0,32.0,sg_conserving_16,16.0,0.02,optimal_inaccurate,optimal_inaccurate,1.9048292878957873e-07,0.01324031019073103,0.01324050067365982
2.0,32.0,sg_conserving_16,16.0,0.025,optimal_inaccurate,optimal_inaccurate,2.759804528969234e-07,0.016550493847411796,0.016550769827864693
2.0,32.0,sg_conserving_16,16.0,0.03,optimal_inaccurate,optimal_inaccurate,4.561689828305737e-08,0.019860572985939004,0.019860612106403955
2.0,32.0,sg_conserving_16,16.0,0.035,optimal_inaccurate,optimal_inaccurate,4.347397192586144e-08,0.02317073518894472,0.023170691714972793
2.0,32.0,sg_conserving_16,16.0,0.04,optimal_inaccurate,optimal_inaccurate,3.276992428455361e-08,0.02648078167496372,0.026480804760848894
2.0,32.0,sg_conserving_16,16.0,0.045,optimal_inaccurate,optimal_inaccurate,3.259878097322533e-08,0.02979087442949562,0.02979089220531729
2.0,32.0,sg_conserving_16,16.0,0.05,optimal_inaccurate,optimal_inaccurate,1.1343163030391734e-07,0.03310100693584739,0.03310112036747769
2.0,32.0,sg_conserving_16,16.0,0.055,optimal_inaccurate,optimal_inaccurate,0.0004764326252689882,0.03625880159048328,0.03641113678640988
2.0,32.0,sg_conserving_16,16.0,0.06,optimal_inaccurate,optimal_inaccurate,0.001741302775533457,0.03871170081799741,0.03972115761030102
2.0,32.0,sg_conserving_16,16.0,0.065,optimal_inaccurate,optimal_inaccurate,0.0031736593273553187,0.040808523108813,0.04303131218744241
2.0,32.0,sg_conserving_16,16.0,0.07,optimal,optimal_inaccurate,0.004975848987401436,0.04260301379741414,0.04634138455504336
2.0,32.0,sg_conserving_64,64.0,0.0,optimal_inaccurate,optimal_inaccurate,3.386601175849971e-07,5.867560084998721e-08,3.973357184349843e-07
2.0,32.0,sg_conserving_64,64.0,0.005,optimal_inaccurate,optimal_inaccurate,4.25656272697722e-07,0.004164925819321443,0.004165351475594141
2.0,32.0,sg_conserving_64,64.0,0.01,optimal_inaccurate,optimal_inaccurate,4.5883219879777615e-09,0.008330553818992649,0.008330557820348925
2.0,32.0,sg_conserving_64,64.0,0.015,optimal_inaccurate,optimal_inaccurate,7.085061261638548e-09,0.012495826758997675,0.012495819673936414
