scope,calls,active_calls,active_fraction,mean_surplus_norm_pu,active_mean_surplus_norm_pu,maximum_surplus_norm_pu,active_duration_s,performance_envelope_used_fraction
ALL,22392,2,8.931761343336905e-05,1.0168171303680672e-06,0.011384283789535769,0.02160162780373773,6.0,8.931761343336905e-05
B_native_ANDES_Kundur|delay_increase|stressed|2.0|known|SUSTAINABLE,302,0,0.0,4.1275807374304455e-15,0.0,7.707724227118784e-14,0.0,0.0
B_native_ANDES_Kundur|delay_increase|stressed|4.0|OOD|SUSTAINABLE,75,0,0.0,1.686659166877769e-15,0.0,3.276320072490852e-14,0.0,0.0
B_native_ANDES_Kundur|power_drop|base|2.0|OOD|SUSTAINABLE,150,0,0.0,1.5342531571693993e-15,0.0,1.1166823170055126e-14,0.0,0.0
B_native_ANDES_Kundur|power_drop|base|2.0|known|SUSTAINABLE,151,0,0.0,2.627716650634169e-15,0.0,1.2692091238102152e-14,0.0,0.0
B_native_ANDES_Kundur|power_drop|base|4.0|OOD|SUSTAINABLE,151,0,0.0,2.2407127852821167e-15,0.0,3.0243187754393533e-14,0.0,0.0
B_native_ANDES_Kundur|power_drop|stressed|2.0|known|SUSTAINABLE,302,0,0.0,1.6195765922312519e-15,0.0,8.841778422560324e-14,0.0,0.0
B_native_ANDES_Kundur|power_drop|stressed|4.0|OOD|SUSTAINABLE,76,0,0.0,2.1539261659024354e-15,0.0,3.73231768425336e-14,0.0,0.0
B_native_ANDES_Kundur|power_drop|stressed|4.0|known|SUSTAINABLE,76,0,0.0,1.1934270221366342e-15,0.0,6.8978735394954015e-15,0.0,0.0
B_native_ANDES_Kundur|ramp_drop|base|2.0|known|SUSTAINABLE,302,0,0.0,2.2786708276179906e-15,0.0,1.83276020002382e-14,0.0,0.0
B_native_ANDES_Kundur|ramp_drop|base|4.0|OOD|SUSTAINABLE,75,0,0.0,2.7847731759220158e-15,0.0,3.686084052891273e-14,0.0,0.0
B_native_ANDES_Kundur|ramp_drop|base|4.0|known|SUSTAINABLE,76,0,0.0,9.72613223294369e-16,0.0,1.6843076116719054e-14,0.0,0.0
B_native_ANDES_Kundur|ramp_drop|stressed|2.0|OOD|SUSTAINABLE,302,0,0.0,3.5284783499777928e-15,0.0,3.427174742108991e-14,0.0,0.0
B_native_ANDES_Kundur|ramp_drop|stressed|4.0|OOD|SUSTAINABLE,75,0,0.0,1.6655711269378056e-15,0.0,1.3198138811755593e-14,0.0,0.0
B_native_ANDES_Kundur|ramp_drop|stressed|4.0|known|SUSTAINABLE,76,0,0.0,1.63932609208478e-15,0.0,1.6189720635458914e-14,0.0,0.0
