plant,mechanism,sg_tension,period_s,condition,method,episodes,evaluated,success_rate,frequency_peak_hz,ace_iae_pu_s,tie_rms_pu,terminal_recovery_rate,fallback_calls,surplus_active_calls,hard_violations
B_native_ANDES_Kundur,delay_increase,base,4.0,OOD,dcsv_cr_mpc,2,2,1.0,0.03498680891340478,0.7866426467774428,0.002117594775357815,1.0,0,0,0
B_native_ANDES_Kundur,delay_increase,base,4.0,known,contract_only_rolling_mpc,1,1,1.0,0.03454568139647174,0.4959708203611267,0.0017599830239014844,1.0,0,0,0
B_native_ANDES_Kundur,delay_increase,base,4.0,known,dcsv_cr_mpc,1,1,1.0,0.034501928728203346,0.604828198330238,0.0018913839068965361,1.0,0,0,0
B_native_ANDES_Kundur,delay_increase,stressed,2.0,OOD,contract_only_rolling_mpc,1,1,1.0,0.05564325265887237,1.2895670160178263,0.0019593317316454434,1.0,0,0,0
B_native_ANDES_Kundur,delay_increase,stressed,2.0,OOD,dcsv_cr_mpc,1,1,1.0,0.05612569255439848,1.8298767606195816,0.002952554967663692,1.0,0,0,0
B_native_ANDES_Kundur,delay_increase,stressed,2.0,known,contract_only_rolling_mpc,2,2,1.0,0.07755404426062651,1.465886149400109,0.0013940617427328063,1.0,0,0,0
B_native_ANDES_Kundur,delay_increase,stressed,2.0,known,dcsv_cr_mpc,2,2,1.0,0.07843180740262246,1.6668036308642178,0.001420639047927217,1.0,0,0,0
B_native_ANDES_Kundur,delay_increase,stressed,4.0,OOD,contract_only_rolling_mpc,1,1,1.0,0.05294150490970595,2.813779772243437,0.004734977659210234,1.0,0,0,0
B_native_ANDES_Kundur,delay_increase,stressed,4.0,OOD,dcsv_cr_mpc,1,1,1.0,0.052893295951047525,1.7922328106210639,0.00376704307896868,1.0,0,0,0
B_native_ANDES_Kundur,power_drop,base,2.0,OOD,contract_only_rolling_mpc,1,1,1.0,0.035893326714211415,1.3560043586643573,0.003199244572663922,1.0,0,0,0
B_native_ANDES_Kundur,power_drop,base,2.0,OOD,dcsv_cr_mpc,1,1,1.0,0.03588888378218247,1.4520716488867014,0.0037138950990043638,1.0,0,0,0
B_native_ANDES_Kundur,power_drop,base,2.0,known,contract_only_rolling_mpc,1,1,1.0,0.050039725799924106,0.580535511684829,0.002970445791919347,1.0,0,0,0
B_native_ANDES_Kundur,power_drop,base,2.0,known,dcsv_cr_mpc,1,1,1.0,0.049583133146664515,0.9483595851593852,0.003319781591201957,1.0,0,0,0
B_native_ANDES_Kundur,power_drop,base,4.0,OOD,contract_only_rolling_mpc,2,2,1.0,0.03412669337315377,1.6545429907359017,0.0028583777088105338,1.0,0,0,0
B_native_ANDES_Kundur,power_drop,base,4.0,OOD,dcsv_cr_mpc,2,2,1.0,0.03362497202669679,1.1777385604942165,0.002677902411948661,1.0,0,0,0
B_native_ANDES_Kundur,power_drop,stressed,2.0,known,contract_only_rolling_mpc,2,2,1.0,0.06358571238511912,1.4542469792029458,0.0017688144611939084,1.0,0,0,0
B_native_ANDES_Kundur,power_drop,stressed,2.0,known,dcsv_cr_mpc,2,2,1.0,0.06356562623676121,1.6285953027936146,0.0018827641588789828,1.0,0,0,0
B_native_ANDES_Kundur,power_drop,stressed,4.0,OOD,contract_only_rolling_mpc,1,1,1.0,0.056852735133585686,0.7927348260157457,0.0027791260192177657,1.0,0,0,0
B_native_ANDES_Kundur,power_drop,stressed,4.0,OOD,dcsv_cr_mpc,1,1,1.0,0.0567461022868998,0.6258414396954312,0.0028526785037477752,1.0,0,0,0
B_native_ANDES_Kundur,power_drop,stressed,4.0,known,contract_only_rolling_mpc,1,1,1.0,0.05008132869959936,3.000358804684536,0.0040707019465002344,1.0,0,0,0
B_native_ANDES_Kundur,power_drop,stressed,4.0,known,dcsv_cr_mpc,1,1,1.0,0.04779829945768643,2.2665815371354854,0.004430690303238745,1.0,0,0,0
B_native_ANDES_Kundur,ramp_drop,base,2.0,known,contract_only_rolling_mpc,2,2,1.0,0.034668453436169644,0.7756844431826445,0.0016501814956020322,1.0,0,0,0
B_native_ANDES_Kundur,ramp_drop,base,2.0,known,dcsv_cr_mpc,2,2,1.0,0.03478092066332095,0.8986029177350989,0.0020617408639702697,1.0,0,0,0
B_native_ANDES_Kundur,ramp_drop,base,4.0,OOD,contract_only_rolling_mpc,1,1,1.0,0.03261174694741187,2.1117947544450146,0.0028513750248657333,1.0,0,0,0
B_native_ANDES_Kundur,ramp_drop,base,4.0,OOD,dcsv_cr_mpc,1,1,1.0,0.031094445783197422,1.5523339443940927,0.0030617170680735536,1.0,0,0,0
B_native_ANDES_Kundur,ramp_drop,base,4.0,known,contract_only_rolling_mpc,1,1,1.0,0.03300035812513591,1.623345271777192,0.0025442236364888408,1.0,0,0,0
B_native_ANDES_Kundur,ramp_drop,base,4.0,known,dcsv_cr_mpc,1,1,1.0,0.033091163255341005,1.267401632405758,0.0027674650542450258,1.0,0,0,0
B_native_ANDES_Kundur,ramp_drop,stressed,2.0,OOD,contract_only_rolling_mpc,2,2,1.0,0.06555571791768744,1.398750007955201,0.00244122902860079,1.0,0,0,0
B_native_ANDES_Kundur,ramp_drop,stressed,2.0,OOD,dcsv_cr_mpc,2,2,1.0,0.06557350875380008,1.574409808184626,0.0026416498581127335,1.0,0,0,0
B_native_ANDES_Kundur,ramp_drop,stressed,4.0,OOD,contract_only_rolling_mpc,1,1,1.0,0.057014786149431895,0.7490339047796496,0.0027672064902866233,1.0,0,0,0
B_native_ANDES_Kundur,ramp_drop,stressed,4.0,OOD,dcsv_cr_mpc,1,1,1.0,0.05686242818458753,0.6065247084780667,0.002854334261145873,1.0,0,0,0
B_native_ANDES_Kundur,ramp_drop,stressed,4.0,known,contract_only_rolling_mpc,1,1,1.0,0.07157519127538814,4.168338821289511,0.0022503372880178663,1.0,0,0,0
B_native_ANDES_Kundur,ramp_drop,stressed,4.0,known,dcsv_cr_mpc,1,1,1.0,0.07125840498119151,2.7321800143150363,0.00156314733198772,1.0,0,0,0
