scenario_id,seed,method,summary_frequency_peak_hz,cycle_frequency_peak_hz,cycle_peak_time_s,first_cycle_above_1hz_s,capability_change_time_s,second_capability_change_time_s,profile_peak_pu,profile_rms_pu,fallback_calls,hard_violation,final_soc_min,final_soc_max,terminal_recovery
R5-N-02,42,sg_only_anti_windup_pi,2.159801659455044,2.1382406805723444,2636.05,1448.0500000000002,1300.0,2480.0,0.011104791436356162,0.0038474327216200433,0,False,0.35684049793653716,0.35786342784824865,False
R5-N-02,42,fixed_allocation_anti_windup_pi,2.1098809108740464,2.0414108939459727,3340.25,2024.25,1300.0,2480.0,0.011104791436356162,0.0038474327216200433,0,False,0.3898139436641251,0.3943090942552579,False
R5-N-02,42,nominal_offset_free_mpc,1.7353946065835755,1.4858241829486605,2895.75,2571.8,1300.0,2480.0,0.011104791436356162,0.0038474327216200433,0,False,0.4646403024396365,0.48381564618481593,False
R5-N-02,42,contract_only_rolling_mpc,2.230280684360332,1.9165200596949088,2743.8500000000004,2583.75,1300.0,2480.0,0.011104791436356162,0.0038474327216200433,0,False,0.45032272035041665,0.45131573291948984,False
R5-N-02,42,model_adaptive_mpc,2.218100900521475,1.9178997056731433,2836.0,2471.9,1300.0,2480.0,0.011104791436356162,0.0038474327216200433,0,False,0.44186043564901406,0.4479352624765831,False
R5-N-02,42,dcsv_cr_mpc,2.29070632959956,2.09934501482177,3584.4,1532.25,1300.0,2480.0,0.011104791436356162,0.0038474327216200433,322,False,0.35102323334418406,0.3688974652683095,False
R5-N-02,42,true_capability_oracle_mpc,1.6458192779387413,1.4752985117002488,2512.2000000000003,2472.2000000000003,1300.0,2480.0,0.011104791436356162,0.0038474327216200433,0,False,0.4487094338952794,0.5075981884833977,False
R5-N-03,43,sg_only_anti_windup_pi,0.010696261296736464,0.010083724448483489,516.0500000000001,,1400.0,2520.0,0.01102867418533236,0.003994781421747898,0,False,0.499918591654178,0.49991889732936956,True
R5-N-03,43,fixed_allocation_anti_windup_pi,0.010707137571304386,0.009948082101170829,516.0,,1400.0,2520.0,0.01102867418533236,0.003994781421747898,0,False,0.4977179999587552,0.4992100726163515,True
R5-N-03,43,nominal_offset_free_mpc,0.007344928509637943,0.0061518394912693395,515.9,,1400.0,2520.0,0.01102867418533236,0.003994781421747898,0,False,0.49994583875539655,0.49995452636702353,True
R5-N-03,43,contract_only_rolling_mpc,0.007386613272124692,0.007287926835775638,516.25,,1400.0,2520.0,0.01102867418533236,0.003994781421747898,0,False,0.49994116869813743,0.49995505140922863,True
R5-N-03,43,model_adaptive_mpc,0.0073547733375631755,0.006565997948149121,516.0,,1400.0,2520.0,0.01102867418533236,0.003994781421747898,0,False,0.4999425065474052,0.49995493327458773,True
R5-N-03,43,dcsv_cr_mpc,0.007171828732024079,0.006902414324849162,516.15,,1400.0,2520.0,0.01102867418533236,0.003994781421747898,0,False,0.5027187346049875,0.5058120350195638,True
R5-N-03,43,true_capability_oracle_mpc,0.00738519587321472,0.006754981440100134,516.0500000000001,,1400.0,2520.0,0.01102867418533236,0.003994781421747898,0,False,0.4999413611379009,0.4999550379811103,True
R5-N-04,44,sg_only_anti_windup_pi,0.007423906257814587,0.00731258327294901,1376.0500000000002,,1500.0,2560.0,0.009517987074908116,0.0035232902701563098,0,False,0.4998507624317912,0.4998517920832715,True
R5-N-04,44,fixed_allocation_anti_windup_pi,0.00748571310820312,0.007298582026739752,1375.95,,1500.0,2560.0,0.009517987074908116,0.0035232902701563098,0,False,0.4952724084381842,0.5005941840551382,True
R5-N-04,44,nominal_offset_free_mpc,0.005697015585468391,0.005636100378888309,2564.05,,1500.0,2560.0,0.009517987074908116,0.0035232902701563098,0,False,0.49990814985752385,0.49992679351998026,True
R5-N-04,44,contract_only_rolling_mpc,0.005643727677622422,0.005565310299180047,327.90000000000003,,1500.0,2560.0,0.009517987074908116,0.0035232902701563098,0,False,0.49991168035784006,0.4999304888247733,True
R5-N-04,44,model_adaptive_mpc,0.005710718678852547,0.005615454659183493,2564.3500000000004,,1500.0,2560.0,0.009517987074908116,0.0035232902701563098,0,False,0.49990213527276967,0.4999220009578319,True
R5-N-04,44,dcsv_cr_mpc,0.005727402613742206,0.005648331933411052,328.25,,1500.0,2560.0,0.009517987074908116,0.0035232902701563098,0,False,0.4955785458001633,0.5084182589567471,True
R5-N-04,44,true_capability_oracle_mpc,0.005712939390779047,0.005640913303426767,328.1,,1500.0,2560.0,0.009517987074908116,0.0035232902701563098,0,False,0.4999030735882425,0.49991766411862065,True
R5-N-05,45,sg_only_anti_windup_pi,1.7245025312026308,1.7151263786748794,3563.7000000000003,2851.75,1600.0,2600.0,0.01062449509245347,0.003524685115190398,0,False,0.4561103043636156,0.4565157864394138,False
R5-N-05,45,fixed_allocation_anti_windup_pi,0.009080486365075323,0.009037062159574536,448.0,,1600.0,2600.0,0.01062449509245347,0.003524685115190398,0,False,0.49823970916933313,0.4992706433632608,True
R5-N-05,45,nominal_offset_free_mpc,0.007673511742746264,0.007532083682310902,3059.4500000000003,,1600.0,2600.0,0.01062449509245347,0.003524685115190398,0,False,0.49990743530109716,0.4999327679175554,True
R5-N-05,45,contract_only_rolling_mpc,0.0073440142419549095,0.006741030767948785,3443.9,,1600.0,2600.0,0.01062449509245347,0.003524685115190398,0,False,0.4999146761371697,0.49994142961336174,True
R5-N-05,45,model_adaptive_mpc,0.007489504819741184,0.006453311808173176,3048.0,,1600.0,2600.0,0.01062449509245347,0.003524685115190398,0,False,0.4999202711786598,0.4999437583172566,True
R5-N-05,45,dcsv_cr_mpc,0.010415647896486262,0.008172456319655958,3443.8500000000004,,1600.0,2600.0,0.01062449509245347,0.003524685115190398,0,False,0.50295389490179,0.5058264069803378,True
R5-N-05,45,true_capability_oracle_mpc,0.00753330613677867,0.006526344891161128,3048.0,,1600.0,2600.0,0.01062449509245347,0.003524685115190398,0,False,0.49992343989061117,0.49994771595020104,True
