scenario_id,plant,mechanism,sg_tension,period_s,condition,evaluation_status,fallback_calls,surplus_active_calls,excitation_fraction,frequency_peak_hz__contract_only_rolling_mpc,frequency_peak_hz__dcsv_cr_mpc,ace_iae_pu_s__contract_only_rolling_mpc,ace_iae_pu_s__dcsv_cr_mpc,tie_rms_pu__contract_only_rolling_mpc,tie_rms_pu__dcsv_cr_mpc,physical_success__contract_only_rolling_mpc,physical_success__dcsv_cr_mpc,attribution,contract_minus_dcsv__frequency_peak_hz,contract_minus_dcsv__ace_iae_pu_s,contract_minus_dcsv__tie_rms_pu
R5-V-A-036,A_full_nonlinear,power_drop,high,4.0,OOD,EVALUATED,0,0,0.4666666666666667,0.2815953829688275,0.2815721942570347,1.3791794707951288,1.3860301019083248,0.0043768624717583395,0.004519236115542387,True,True,CONSERVATIVE_ONLINE_ENVELOPE_NO_SURPLUS,2.318871179279869e-05,-0.0068506311131959485,-0.00014237364378404723
R5-V-A-037,A_full_nonlinear,power_drop,high,4.0,known,EVALUATED,0,0,0.0,0.22856332369140506,0.22219619546307462,1.0365169891429111,1.0108667454071065,0.003218247988516894,0.0033234962234388755,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,0.006367128228330438,0.0256502437358046,-0.00010524823492198167
R5-V-A-038,A_full_nonlinear,power_drop,high,4.0,OOD,EVALUATED,0,0,0.0,0.6524644216769739,0.6413060437186161,4.0651539361014,3.7550261107228664,0.009052875866245596,0.009954440874072778,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,0.011158377958357835,0.310127825378534,-0.0009015650078271816
R5-V-A-039,A_full_nonlinear,power_drop,high,4.0,known,EVALUATED,0,0,0.0,0.23195181416152855,0.23281480884048625,1.0645225734297121,1.0668152609942376,0.0035842177722761504,0.0035322105211162674,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,-0.0008629946789577014,-0.0022926875645254974,5.2007251159883004e-05
R5-V-A-040,A_full_nonlinear,ramp_drop,low,2.0,known,EVALUATED,0,0,0.6066666666666667,1.1540959448608274,1.1630635594588072,6.709438487599938,6.8875570366518915,0.00597432651482242,0.006802053886455992,False,False,CONSERVATIVE_ONLINE_ENVELOPE_NO_SURPLUS,-0.00896761459797979,-0.17811854905195368,-0.0008277273716335715
R5-V-A-041,A_full_nonlinear,ramp_drop,low,2.0,known,EVALUATED,0,0,0.15894039735099338,0.9767303763656427,0.9904440345417671,5.1987100288408135,5.441351548138579,0.010447501625948475,0.011657256877875628,True,True,CONSERVATIVE_ONLINE_ENVELOPE_NO_SURPLUS,-0.013713658176124355,-0.24264151929776556,-0.0012097552519271526
R5-V-A-042,A_full_nonlinear,ramp_drop,low,2.0,OOD,PHYSICALLY_INFEASIBLE_CERTIFIED,0,0,0.0,0.8597934714926225,0.8616921115659444,26.097767684994643,26.985749685003814,0.032205384251283484,0.03345181232888689,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,-0.0018986400733218556,-0.8879820000091705,-0.0012464280776034037
R5-V-A-043,A_full_nonlinear,ramp_drop,low,2.0,OOD,PHYSICALLY_INFEASIBLE_CERTIFIED,0,0,0.0,0.884832985433861,0.903699278875643,21.198302853403778,21.598561167306862,0.02866663667899152,0.029397692134246416,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,-0.018866293441782034,-0.400258313903084,-0.0007310554552548941
R5-V-A-044,A_full_nonlinear,ramp_drop,low,2.0,known,EVALUATED,0,0,0.0,0.42625469669028154,0.4275736546083483,1.8464628360413926,1.8521499267115902,0.0011930986889875893,0.001544340335988837,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,-0.0013189579180667432,-0.00568709067019757,-0.0003512416470012477
R5-V-A-045,A_full_nonlinear,ramp_drop,low,2.0,OOD,EVALUATED,0,0,0.15894039735099338,0.8246703085786743,0.904548466782914,4.610192790347328,5.2134284358417,0.008876166692598155,0.011280497263328318,True,True,CONSERVATIVE_ONLINE_ENVELOPE_NO_SURPLUS,-0.07987815820423971,-0.6032356454943724,-0.0024043305707301624
