scenario_id,J_mat,Tcrit_s,max_counterfactual_loss_gap
A_availability_adequate_17,0.02,,0.0055852622584733926
A_availability_adequate_18,0.02,36.0,1.127824970347164
A_availability_adequate_19,0.02,20.0,0.08545286456112366
A_availability_scarce_00,0.02,36.0,0.9907641985492632
A_availability_scarce_01,0.02,,0.0
A_availability_scarce_02,0.02,28.0,0.8695602546950711
A_availability_scarce_03,0.02,,0.007677582913090713
A_availability_scarce_04,0.02,,0.0
A_availability_scarce_05,0.02,36.0,0.866280781385778
A_availability_scarce_06,0.02,20.0,0.8789006991844854
A_availability_scarce_07,0.02,,0.007284964518566018
A_availability_scarce_08,0.02,,0.0
A_availability_scarce_09,0.02,,0.007145062790811826
A_availability_scarce_10,0.02,28.0,0.7186134621256324
A_availability_scarce_11,0.02,36.0,0.6308170437529093
A_availability_scarce_12,0.02,20.0,0.927402497468037
A_availability_scarce_13,0.02,20.0,0.8771188269341665
A_availability_scarce_14,0.02,36.0,0.5980289236894727
A_availability_scarce_15,0.02,20.0,0.9342546984083395
A_availability_scarce_16,0.02,28.0,0.8837275194302809
A_availability_scarce_17,0.02,,0.007347319828118048
A_availability_scarce_18,0.02,,0.0
A_availability_scarce_19,0.02,28.0,1.0523704281262107
A_availability_critical_00,0.02,20.0,1.9679855492894025
A_availability_critical_01,0.02,28.0,5.184286086345061
A_availability_critical_02,0.02,36.0,1.7707528933074208
A_availability_critical_03,0.02,,0.006541313050114395
A_availability_critical_04,0.02,28.0,0.8731147810773727
A_availability_critical_05,0.02,36.0,0.8429945323251347
A_availability_critical_06,0.02,,0.0
A_availability_critical_07,0.02,,0.0
A_availability_critical_08,0.02,20.0,3.394368098539662
A_availability_critical_09,0.02,36.0,4.776886957973964
A_availability_critical_10,0.02,,0.0
A_availability_critical_11,0.02,28.0,3.046611410945954
A_availability_critical_12,0.02,,0.005430659968824834
A_availability_critical_13,0.02,44.0,0.7721257182591206
A_availability_critical_14,0.02,,0.004180210310613632
A_availability_critical_15,0.02,,0.0
A_availability_critical_16,0.02,20.0,3.407251075189996
A_availability_critical_17,0.02,36.0,3.6242390695532407
A_availability_critical_18,0.02,,0.009087902123743257
A_availability_critical_19,0.02,28.0,2.9519225253563315
A2_headroom_critical_00,0.02,32.0,1.8877343921389058
A2_headroom_adequate_01,0.02,36.0,1.1723778404164613
A2_headroom_scarce_02,0.02,32.0,1.0236526434811641
A2_headroom_scarce_03,0.02,,0.0
A2_headroom_adequate_04,0.02,20.0,1.0980353725763257
A2_headroom_adequate_05,0.02,,0.010577152956678226
A2_headroom_adequate_06,0.02,24.0,1.4171507240857448
A2_headroom_critical_07,0.02,24.0,1.378809712165679
A2_headroom_scarce_08,0.02,,0.0
A2_headroom_critical_09,0.02,62.0,0.5069270060711517
A2_headroom_scarce_10,0.02,,0.0
A2_headroom_scarce_11,0.02,,0.0
A2_headroom_critical_12,0.02,24.0,5.035627136355362
A2_headroom_adequate_13,0.02,20.0,1.466871447790263
A2_headroom_critical_14,0.02,32.0,2.557858312427576
A2_headroom_scarce_15,0.02,,0.013340129358276328
A2_headroom_scarce_16,0.02,,0.012320680986168694
A2_headroom_adequate_17,0.02,20.0,0.2336347669754062
A2_headroom_adequate_18,0.02,,0.014127400757708464
A2_headroom_critical_19,0.02,20.0,1.142040126979708
A2_ramp_critical_00,0.02,34.0,0.8983663106289408
A2_ramp_critical_01,0.02,20.0,1.2293831511921147
A2_ramp_critical_02,0.02,32.0,2.297213047315399
A2_ramp_scarce_03,0.02,,0.0
A2_ramp_critical_04,0.02,,0.0036116687930456415
A2_ramp_adequate_05,0.02,32.0,1.4895944578051263
A2_ramp_scarce_06,0.02,24.0,1.6019282293436508
A2_ramp_critical_07,0.02,,0.013080402788971112
A2_ramp_adequate_08,0.02,,0.0
A2_ramp_scarce_09,0.02,,0.013071465909220118
A2_ramp_critical_10,0.02,26.0,5.821547453126952
A2_ramp_scarce_11,0.02,22.0,1.518313619462715
A2_ramp_scarce_12,0.02,,0.0
A2_ramp_scarce_13,0.02,,0.011775249316784333
A2_ramp_adequate_14,0.02,32.0,1.1014411943250688
A2_ramp_adequate_15,0.02,,0.0
A2_ramp_adequate_16,0.02,,0.011321034946243555
A2_ramp_adequate_17,0.02,20.0,0.9910275442899854
A2_ramp_adequate_18,0.02,20.0,1.4086868888081792
A2_ramp_scarce_19,0.02,32.0,1.3022569688954129
A2_delay_critical_00,0.02,36.0,33.56247307595545
A2_delay_adequate_01,0.02,,0.0
A2_delay_scarce_02,0.02,,0.013378699993336381
A2_delay_adequate_03,0.02,20.0,0.9599031742882191
A2_delay_scarce_04,0.02,,0.0
A2_delay_scarce_05,0.02,38.0,716.2196446573627
A2_delay_adequate_06,0.02,,0.0
A2_delay_critical_07,0.02,20.0,2.4117361869901464
A2_delay_critical_08,0.02,26.0,4.755062170177127
A2_delay_scarce_09,0.02,20.0,1.5729279645207788
A2_delay_critical_10,0.02,38.0,17.242883646067575
A2_delay_critical_11,0.02,84.0,6.810402953034224
A2_delay_critical_12,0.02,,0.01778382527227716
A2_delay_scarce_13,0.02,,0.002096737152740148
A2_delay_scarce_14,0.02,26.0,824.9426444838184
A2_delay_adequate_15,0.02,32.0,1086.4032355152106
A2_delay_scarce_16,0.02,,0.01179198974070113
A2_delay_adequate_17,0.02,32.0,1086.616933279694
A2_delay_adequate_18,0.02,,0.0
A2_delay_adequate_19,0.02,32.0,643.9553095271298
A2_energy_critical_00,0.02,20.0,5.537179696424895
A2_energy_critical_01,0.02,56.0,1.2559499777131737
A2_energy_adequate_02,0.02,24.0,1.000654764398464
A2_energy_scarce_03,0.02,,0.013575045706743878
A2_energy_scarce_04,0.02,22.0,1.4953917818963625
A2_energy_adequate_05,0.02,20.0,1.5322372204309493
A2_energy_adequate_06,0.02,,0.012487282042952096
A2_energy_critical_07,0.02,54.0,1.3806852125327884
A2_energy_adequate_08,0.02,,0.0
A2_energy_critical_09,0.02,20.0,4.653999367660029
A2_energy_scarce_10,0.02,,0.01209351713387289
A2_energy_critical_11,0.02,24.0,1.4127943968842385
A2_energy_adequate_12,0.02,,0.011067805474688636
A2_energy_scarce_13,0.02,32.0,0.9025829404281236
A2_energy_scarce_14,0.02,,0.0
A2_energy_adequate_15,0.02,38.0,1.4162888573940462
A2_energy_critical_16,0.02,32.0,1.8791679259818865
A2_energy_scarce_17,0.02,,0.0
