scope,scenario_id,sg_level,factor,method,reference_method,metric,attempted_pair_count,both_success,method_only_failure,reference_only_failure,both_failure,method_failure_rate,reference_failure_rate,failure_rate_difference,method_safety_failure_rate,reference_safety_failure_rate,safety_failure_rate_difference,common_success_pair_count,scenario_count,method_scenario_balanced_mean,reference_scenario_balanced_mean,scenario_balanced_absolute_effect,scenario_balanced_relative_effect,absolute_ci95_low,absolute_ci95_high,relative_ci95_low,relative_ci95_high,sign_flip_pvalue,episode_ratio_mean_diagnostic_only,episode_ratio_minus_primary,failure_penalty_value,penalized_method_mean,penalized_reference_mean,penalized_relative_effect,primary_estimator
scenario,S1_step_neg_008,A,identified_arx_vs_exact_plant_shooting,B4,B5,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.5989263397143779,0.11666666666666664,0.4822596730477113,4.133654340408954,,,,,1.0,4.272229683456376,0.13857534304742192,0.787388269991956,0.5989263397143779,0.11666666666666664,4.133654340408954,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_neg_008,A,identified_arx_vs_exact_plant_shooting,B4,B5,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.3695486821556165,0.05666666666666667,0.3128820154889498,5.521447332157937,,,,,1.0,6.176659072462582,0.6552117403046447,0.4916964810550439,0.3695486821556165,0.05666666666666667,5.521447332157937,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_002,A,identified_arx_vs_exact_plant_shooting,B4,B5,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.31872453231178866,0.361811781693147,-0.04308724938135833,-0.11908746912476353,,,,,1.0,-0.10008372780054454,0.01900374132421899,0.4893785871695791,0.31872453231178866,0.361811781693147,-0.11908746912476353,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_002,A,identified_arx_vs_exact_plant_shooting,B4,B5,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.08248039350096184,0.0821700741516929,0.00031031934926893656,0.003776549461255941,,,,,1.0,0.0037765494612557833,-1.5785983631388945e-16,0.10503359116863262,0.08248039350096184,0.0821700741516929,0.003776549461255941,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_002,A,identified_arx_vs_exact_plant_shooting,B4,B5,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.5267969090898881,0.07333333333333333,0.4534635757565547,6.18359421486211,,,,,1.0,6.287841258762581,0.10424704390047168,0.7003099494900517,0.5267969090898881,0.07333333333333333,6.18359421486211,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_002,A,identified_arx_vs_exact_plant_shooting,B4,B5,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.3359408666837138,0.05333333333333333,0.28260753335038047,5.298891250319634,,,,,1.0,5.4798943595382825,0.18100310921864882,0.45179835906874083,0.3359408666837138,0.05333333333333333,5.298891250319634,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_004,A,identified_arx_vs_exact_plant_shooting,B4,B5,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.5615011183056348,0.5694784544485852,-0.007977336142950486,-0.014008143908929415,,,,,1.0,-0.014008143908929432,-1.734723475976807e-17,0.7203111377133075,0.5615011183056348,0.5694784544485852,-0.014008143908929415,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_004,A,identified_arx_vs_exact_plant_shooting,B4,B5,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.164634184133608,0.1637461652316025,0.0008880189020055163,0.005423143196968935,,,,,1.0,0.005423143196969031,9.627715291671279e-17,0.20766711590748263,0.164634184133608,0.1637461652316025,0.005423143196968935,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_004,A,identified_arx_vs_exact_plant_shooting,B4,B5,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.5602788191130466,0.08,0.48027881911304654,6.003485238913082,,,,,1.0,6.003485238913083,8.881784197001252e-16,0.7486659315001204,0.5602788191130466,0.08,6.003485238913082,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_004,A,identified_arx_vs_exact_plant_shooting,B4,B5,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.3491405183837848,0.04,0.3091405183837848,7.72851295959462,,,,,1.0,7.72851295959462,0.0,0.471040145160034,0.3491405183837848,0.04,7.72851295959462,scenario_balanced_paired_difference_and_ratio_of_means
