scenario_id,seed,factor,sg_level,method,reference_method,method_present,reference_present,method_success,reference_success,both_success,method_only_failure,reference_only_failure,both_failure,method_safety_failure,reference_safety_failure
S1_step_neg_002,3005,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3005,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3006,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3006,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3006,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3007,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3007,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3007,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3008,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3008,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3008,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3009,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3009,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3009,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3010,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3010,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3010,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3011,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3011,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3011,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3012,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3012,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3012,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3013,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3013,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3013,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3014,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3014,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3014,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3015,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3015,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3015,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3016,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3016,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3016,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3017,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3017,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3017,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3018,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3018,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3018,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3019,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3019,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3019,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
