scope,scenario_id,sg_level,factor,method,reference_method,metric,attempted_pair_count,both_success,method_only_failure,reference_only_failure,both_failure,method_failure_rate,reference_failure_rate,failure_rate_difference,method_safety_failure_rate,reference_safety_failure_rate,safety_failure_rate_difference,common_success_pair_count,scenario_count,method_scenario_balanced_mean,reference_scenario_balanced_mean,scenario_balanced_absolute_effect,scenario_balanced_relative_effect,absolute_ci95_low,absolute_ci95_high,relative_ci95_low,relative_ci95_high,sign_flip_pvalue,episode_ratio_mean_diagnostic_only,episode_ratio_minus_primary,failure_penalty_value,penalized_method_mean,penalized_reference_mean,penalized_relative_effect,primary_estimator
scenario,S3_derated_coincident,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,1.0178084139796386,2.7750484070001162,-1.7572399930204776,-0.6332285911077457,,,,,1.0,-0.5300566224098459,0.1031719686978998,6.111859733248039,1.0178084139796386,2.7750484070001162,-0.6332285911077457,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S4_unavailable_coincident,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,1.0293328443783554,0.9990956644874558,0.03023717989089958,0.030264549197510027,,,,,1.0,0.057520292795216074,0.027255743597706047,1.9466417912908274,1.0293328443783554,0.9990956644874558,0.030264549197510027,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S4_unavailable_coincident,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.29277734022926066,0.29279748406785316,-2.014383859250124e-05,-6.879785410940583e-05,,,,,1.0,-6.885829601303625e-05,-6.044190363042412e-08,0.3679479371522468,0.29277734022926066,0.29279748406785316,-6.879785410940583e-05,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S4_unavailable_coincident,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.6506266684997956,0.647903069493134,0.0027235990066615257,0.004203713695618459,,,,,1.0,0.005774533421342435,0.001570819725723976,0.926168302016369,0.6506266684997956,0.647903069493134,0.004203713695618459,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S4_unavailable_coincident,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.5110270453975886,0.5085459704285135,0.0024810749690751255,0.004878762419422004,,,,,1.0,0.005940071037823585,0.0010613086184015812,0.709403574262256,0.5110270453975886,0.5085459704285135,0.004878762419422004,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S5_multi_switch_stochastic,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.707515378985582,0.8687397154289234,-0.16122433644334133,-0.18558416701801178,,,,,1.0,-0.182191920389995,0.003392246628016793,1.2018719338980337,0.707515378985582,0.8687397154289234,-0.18558416701801178,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S5_multi_switch_stochastic,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.0310271439265369,0.03260584677402727,-0.0015787028474903674,-0.04841778403828818,,,,,1.0,-0.03224249453309115,0.016175289505197026,0.07654115740675012,0.0310271439265369,0.03260584677402727,-0.04841778403828818,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S5_multi_switch_stochastic,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.8755944322048751,0.9417151476964152,-0.06612071549154008,-0.07021307414803919,,,,,1.0,-0.06509911396763737,0.005113960180401819,1.433257380659466,0.8755944322048751,0.9417151476964152,-0.07021307414803919,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S5_multi_switch_stochastic,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.6664134244921647,0.9787177650317374,-0.3123043405395727,-0.3190954039027231,,,,,1.0,-0.2946870409894985,0.024408362913224624,1.7220249622694184,0.6664134244921647,0.9787177650317374,-0.3190954039027231,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S6_sluggish_coincident_high_noise,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,1.6661709699118736,1.3268497118914153,0.3393212580204583,0.2557345078190944,,,,,1.0,0.2565621598457976,0.0008276520267032073,2.390562462696788,1.6661709699118736,1.3268497118914153,0.2557345078190944,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S6_sluggish_coincident_high_noise,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.28971905431333494,0.2847578199360514,0.004961234377283519,0.01742264489311539,,,,,1.0,0.018731644304333626,0.0013089994112182347,0.3823914645569052,0.28971905431333494,0.2847578199360514,0.01742264489311539,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S6_sluggish_coincident_high_noise,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,2.0993385847380055,0.8668428528034859,1.2324957319345196,1.4218214154370232,,,,,1.0,1.4238258510089494,0.0020044355719261997,2.8038366584686845,2.0993385847380055,0.8668428528034859,1.4218214154370232,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S6_sluggish_coincident_high_noise,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,2.4609229866926796,0.33825684825773933,2.12266613843494,6.275308687372225,,,,,1.0,6.29104039685991,0.015731709487685208,3.353229910580896,2.4609229866926796,0.33825684825773933,6.275308687372225,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,240,238,2,0,0,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,0.0,0.008333333333333333,238,8,1.1448314825816097,1.2410079644438112,-0.09617648186220151,-0.07749868221458628,-0.22245829365138112,0.016965767927538362,-0.18406676401065283,0.012595899637632418,0.2265625,-0.057839808670729846,0.019658873543856432,3.259935810949531,1.1582412940888118,1.2416449100882647,-0.06717187443995078,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,240,238,2,0,0,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,0.0,0.008333333333333333,238,8,0.21718423407328247,0.21431026698445974,0.002873967088822732,0.01341030987111379,0.0008285674839700601,0.0053006724923089265,0.0036577099967511125,0.032791099680827614,0.015625,0.0475149531529241,0.034104643281810315,0.38153589919605124,0.21802822153579682,0.21428625752120956,0.01746245446569009,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,sg_mileage,240,238,2,0,0,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,0.0,0.008333333333333333,238,8,0.8494382700907115,0.7123211348899984,0.13711713520071311,0.19249342534513975,-0.18558459876901748,0.42174449823234084,-0.19254921623672686,0.7738651839225973,0.484375,0.4498443249033446,0.25735089955820484,2.1364864867547038,0.8601401434280576,0.7127695654467556,0.20675767474573886,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,ibr_mileage,240,238,2,0,0,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,0.0,0.008333333333333333,238,8,0.8863690880122496,0.9101293740242056,-0.02376028601195601,-0.026106492868039316,-1.0875937529495436,0.8281244848537105,-0.5658012296406867,2.6103401282963508,0.9609375,2.047559735737586,2.0736662286056253,6.11749461267736,0.9294147005502511,0.9124355705874244,0.018608579619375815,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S0_nominal_stochastic,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.4970665539087771,0.4972911691821446,-0.0002246152733675344,-0.000451677583048461,,,,,1.0,-0.0005007973662787861,-4.9119783230325135e-05,0.6849330619127505,0.4970665539087771,0.4972911691821446,-0.000451677583048461,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S0_nominal_stochastic,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.011882284558786689,0.011900724483447683,-1.843992466099391e-05,-0.0015494791671415787,,,,,1.0,-0.0006474533035658868,0.0009020258635756918,0.019261104209485375,0.011882284558786689,0.011900724483447683,-0.0015494791671415787,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S0_nominal_stochastic,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.7136755521210433,0.7083200099054161,0.005355542215627174,0.00756090769812124,,,,,1.0,0.008066549034517015,0.0005056413363957752,0.9650956994539284,0.7136755521210433,0.7083200099054161,0.00756090769812124,scenario_balanced_paired_difference_and_ratio_of_means
