point_id,period_s,sg_tension,load_magnitude_pu,power_spread_pu,ramp_spread_pu_per_s,delay_spread_s,noise_std_pu,soc,tie_loading_pu,objective,nominal_frequency_hz,candidate_count,robust_cost,perfect_information_cost,perfect_information_value,heuristic_value,maximum_safe_probe_upper_value,maximum_exact_probe_value,region,selected_probe_id,no_probe_reason,registered_probe_count,safe_probe_count,evaluated_probe_count,all_safe_probes_evaluated,solver_attempts,solver_failures,elapsed_s
B3F_0035,4.0,low,0.05605358458742503,0.000752993634497869,0.0249604145959853,1.1777474650911128,0.0015059130976280948,0.47188999222658384,0.0011803273870342414,resource_economy,50.0,8,6.1047508860274595,6.1047508851808585,8.46601011517123e-10,-0.0005164896945741822,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.332663200009847
B3F_0036,2.0,medium,0.027658294922200115,0.004804673696123334,0.018659749675994357,0.6271463187841082,0.001845399658514379,0.6108458973421911,0.01373756864665408,balanced,50.0,8,1.13452655791396,1.1345265800473736,-2.2133413546399083e-08,0.011848986424942707,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.6379936000157613
B3F_0037,4.0,low,0.04700960220906284,0.025920191763091523,0.0015191407181768543,0.045843478160835234,0.0016724513320742183,0.3826981897685078,0.010029176167965378,regional_responsibility,50.0,8,5.850479924297784,5.850479924276015,2.176925306685007e-11,-0.005535188907298943,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.2047558999911416
B3F_0038,4.0,low,0.020749406846867817,0.016542805367937678,0.010409214571216267,0.9877278810425055,0.0007209497649604832,0.5530438126475908,0.0032127841118972577,resource_economy,50.0,8,0.8684597039157249,0.8684597040246789,-1.0895395696763899e-10,-0.003972923371610349,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.2580597000196576
B3F_0039,4.0,medium,0.038332191140152905,0.006038607938100634,0.022814547738486964,0.2967633678993989,0.0011364685008604183,0.6547534599438811,0.03625090628984629,balanced,50.0,8,4.979245381790958,4.979245381978255,-1.87297288789523e-10,-0.0024976674734187645,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.1350957000104245
B3F_0040,4.0,high,0.05993041224513235,0.022126052135243972,0.026471488448233813,1.052157092141748,0.0005811789810383278,0.3895221983480603,0.02297269647463153,regional_responsibility,50.0,8,10.528833109810225,10.528833108148143,1.662082027564793e-09,0.021521371246316846,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.2946181000152137
B3F_0041,4.0,low,0.04282287494224099,0.026089708041470632,0.002042336589575324,0.4255906971362084,0.0016434440022080775,0.34605034734153917,0.03357483097431437,resource_economy,50.0,8,5.414525635013815,5.414525634403488,6.10326900130076e-10,-0.004205565057615886,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.1696104999864474
B3F_0042,2.0,low,0.031721250797360025,0.01928492155408858,0.012099105346431301,1.0314198695164083,0.0005900438694540042,0.578157159097386,0.03258102717609721,balanced,50.0,8,2.65236935495642,2.6523693549516896,4.730438263322867e-12,0.03774790175384103,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.51642030000221
B3F_0043,2.0,high,0.06611834441897502,0.004034958917594592,0.013684277220347783,0.9426710392487215,0.001010234564999755,0.4636935075631951,0.03156947937176821,regional_responsibility,50.0,8,8.323479493303633,8.323479494704559,-1.400925597749847e-09,0.0935830422988313,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.5784490999940317
B3F_0044,4.0,medium,0.03441336413624634,0.0010650238670186474,0.030676111201080575,1.2193008759538249,0.0009174908206631207,0.39669514571439857,0.0214222733264171,resource_economy,50.0,8,3.1030044295899346,3.1030044295210937,6.884093295411731e-11,-0.0045984672806779784,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.4569954999897163
