scenario_id,method,plant,condition,domain,evaluation_status,physical_success,hard_violation,fallback_calls,stored_cycle_rows,representative_trace,controller_failure_detail,physical_certificate_detail,trace_storage_path
I6-A-027,dcsv_mpc,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-027,fixed_allocation_pi,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,150,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-028,dcsv_mpc,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-028,fixed_allocation_pi,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-029,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-029,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-030,dcsv_mpc,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,75,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-030,fixed_allocation_pi,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,75,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-031,dcsv_mpc,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-031,fixed_allocation_pi,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-032,dcsv_mpc,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,76,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-032,fixed_allocation_pi,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,76,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-033,dcsv_mpc,A_full_nonlinear,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,75,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-033,fixed_allocation_pi,A_full_nonlinear,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,76,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-034,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,75,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-034,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,75,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-035,dcsv_mpc,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-035,fixed_allocation_pi,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,75,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-036,dcsv_mpc,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-036,fixed_allocation_pi,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-037,dcsv_mpc,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-037,fixed_allocation_pi,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-038,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-038,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,75,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-039,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-039,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-040,dcsv_mpc,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-040,fixed_allocation_pi,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-041,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,150,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-041,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-042,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-042,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,150,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-043,dcsv_mpc,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,150,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-043,fixed_allocation_pi,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-044,dcsv_mpc,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,150,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-044,fixed_allocation_pi,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,151,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-045,dcsv_mpc,A_full_nonlinear,OOD,BRIDGE,EVALUATED,False,False,0,151,False,True,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-045,fixed_allocation_pi,A_full_nonlinear,OOD,BRIDGE,EVALUATED,False,False,0,151,False,True,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-046,dcsv_mpc,A_full_nonlinear,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,151,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-046,fixed_allocation_pi,A_full_nonlinear,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,151,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-047,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,150,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-047,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
