scenario_id,split,seed,design_cell,plant,mechanism,capability_mechanism,sg_tension,period_s,control_period_s,condition,known_ood,duration_s,capability_change_time_s,load_event_time_s,load_area,load_sign,load_magnitude_pu,timing_relation,initial_soc,initial_soc_area1,initial_soc_area2,value_region,contract_violation,contract_status,factor_assignment,method,physical_success,frequency_peak_hz,ace_iae_pu_s,tie_iae_pu_s,sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,terminal_recovery,hard_violation,command_violation,normal1h,controller_calls,attempted_optimization_calls,solver_failure_calls,fallback_calls,restoration_calls,p99_solve_time_s,full_rolling,certificate_issues,certificate_revocations,probe_active_calls,probe_command_l1_pu_s,certified_surplus_l1_pu_s,ordinary_controller_truth_read,evaluation_only_truth_read,voi_decision_calls,voi_worthwhile_calls,voi_abstention_calls,voi_probe_triggers,candidate_diameter_reduction_mean,candidate_diameter_reduction_max,passive_certificate_renewals,maximum_unmetered_responsibility_jump_pu,probe_aborts_on_change
D5-M1R1-014,development_r1,5614,A_full_nonlinear|ramp_drop|high|4,A_full_nonlinear,ramp_drop,ramp_drop,high,4.0,4.0,known,known,300.0,117.74923944510137,117.74923944510137,both,1,0.0558,simultaneous,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.3402715821521285,1.733010881864035,0.0672963178212299,0.284325540889155,1.5394715051070509,True,False,False,False,76,76,0,0,0,0.07404939999833,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-015,development_r1,5615,A_full_nonlinear|ramp_drop|high|4,A_full_nonlinear,ramp_drop,ramp_drop,high,4.0,4.0,known,known,300.0,116.79932569910372,116.79932569910372,area0,1,0.02,simultaneous,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.0551292062333588,0.2769674999257401,0.0859665494556137,0.1001635362562296,0.032206597350345,True,False,False,False,76,76,0,0,0,0.0759461500001634,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-015,development_r1,5615,A_full_nonlinear|ramp_drop|high|4,A_full_nonlinear,ramp_drop,ramp_drop,high,4.0,4.0,known,known,300.0,116.79932569910372,116.79932569910372,area0,1,0.02,simultaneous,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.055125359943971,0.2782866177199035,0.0860722583247596,0.1012936642258573,0.0324493200247366,True,False,False,False,76,76,0,0,0,0.0855173749969253,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-000,development_r1,5600,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,300.0,115.61653739177687,101.61653739177687,area0,1,0.0744,before,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.3169436884302213,1.073221263094455,0.185659156897219,0.2195047582107829,2.449756621832523,True,False,False,False,151,155,0,0,0,0.0776579000012134,True,1,1,3,0.02,0.0,False,False,151,1,148,1,0.5,0.5,0,1.3010426069826053e-18,0
D5-M1R1-001,development_r1,5601,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,300.0,120.20945073387377,106.20945073387377,area1,1,0.02,before,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.0558016454905429,0.1497556676354891,0.0255554341209255,0.0662031002764906,0.0188128227248081,True,False,False,False,151,151,0,0,0,0.0756058500010112,True,0,0,0,0.0,0.0,False,False,151,0,151,0,0.0,0.0,0,0.0,0
D5-M1R1-002,development_r1,5602,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,power_drop,low,4.0,4.0,known,known,300.0,119.5706417765794,119.5706417765794,both,1,0.0744,simultaneous,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.4533961778908812,2.395658726128554,0.0945891600565519,0.376550246664966,2.4915308598284014,True,False,False,False,76,80,0,0,0,0.1206083250053779,True,1,1,3,0.04,0.0,False,False,76,1,73,1,0.5,0.5,0,2.1684043449710093e-18,0
D5-M1R1-003,development_r1,5603,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,power_drop,low,4.0,4.0,known,known,300.0,108.23547486343674,108.23547486343674,area0,1,0.02,simultaneous,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.0525611848396354,0.2878872337623832,0.0699627757007528,0.0921865974875259,0.0343321859376596,True,False,False,False,76,76,0,0,0,0.0762497499999881,True,0,0,0,0.0,0.0,False,False,76,0,76,0,0.0,0.0,0,0.0,0
D5-M1R1-004,development_r1,5604,A_full_nonlinear|power_drop|high|2,A_full_nonlinear,power_drop,power_drop,high,2.0,2.0,OOD,OOD,300.0,124.6837621819832,138.6837621819832,area1,1,0.0558,after,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.2375525376255394,0.8178606643589662,0.1654775580574915,0.1799871820230866,1.0510149371138822,True,False,False,False,151,155,0,0,0,0.0730999999977939,True,1,1,3,0.02,0.0,False,False,151,1,148,1,0.5,0.5,0,2.1684043449710093e-18,0
D5-M1R1-005,development_r1,5605,A_full_nonlinear|power_drop|high|2,A_full_nonlinear,power_drop,power_drop,high,2.0,2.0,OOD,OOD,300.0,109.14798278214909,123.14798278214909,both,1,0.02,after,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.0766143359625522,0.2482296646067631,0.0088655893997531,0.078377635559499,0.035113063958311,True,False,False,False,151,151,0,0,0,0.0716107000007468,True,0,0,0,0.0,0.0,False,False,151,0,151,0,0.0,0.0,0,0.0,0
D5-M1R1-006,development_r1,5606,A_full_nonlinear|power_drop|high|4,A_full_nonlinear,power_drop,power_drop,high,4.0,4.0,OOD,OOD,300.0,117.1909914108758,103.1909914108758,area0,1,0.0558,before,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.2349625722236182,0.9734258888452392,0.206190607939055,0.2275766987602309,1.20779730012169,True,False,False,False,76,80,0,0,0,0.1204515749977872,True,1,1,3,0.04,0.0,False,False,76,1,73,1,0.5,0.5,0,2.1684043449710093e-18,0
