set,split,plant,period_s,horizon_steps,horizon_s,samples,successes,empirical_coverage,confidence,finite_sample_lower_bound,empirical_target,lower_bound_target,local_only,passed
GLOBAL_PREDICTION,validation,B,4.0,1,4.0,240,240,1.0,0.95,0.987595361949591,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,B,4.0,1,4.0,222,222,1.0,0.95,0.986596350239866,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,B,4.0,1,4.0,222,222,1.0,0.95,0.986596350239866,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,B,4.0,2,8.0,234,234,1.0,0.95,0.9872793258498066,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,B,4.0,2,8.0,216,216,1.0,0.95,0.986226602409532,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,B,4.0,2,8.0,216,216,1.0,0.95,0.986226602409532,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,B,4.0,4,16.0,222,222,1.0,0.95,0.986596350239866,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,B,4.0,4,16.0,198,198,1.0,0.95,0.9849839218112392,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,B,4.0,4,16.0,198,198,1.0,0.95,0.9849839218112392,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,B,4.0,6,24.0,210,210,1.0,0.95,0.9858358768052234,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,B,4.0,6,24.0,174,174,1.0,0.95,0.9829305109306458,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,B,4.0,6,24.0,174,174,1.0,0.95,0.9829305109306458,0.95,0.95,True,True
