split,seed,plant,scenario,sg,method,failure_class
final_ood,2006,B,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2007,A,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2007,B,unknown_three_stage,adequate,fixed_allocation,frequency_or_ace_failure
final_ood,2007,B,unknown_three_stage,adequate,nominal_mpc,frequency_or_ace_failure
final_ood,2007,B,unknown_three_stage,adequate,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2007,B,unknown_three_stage,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2007,B,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2008,A,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2008,B,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2009,A,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2009,B,multiple_switches,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2009,B,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2010,A,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2010,B,asymmetric,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2010,B,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2011,A,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2011,B,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2012,A,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2012,B,gradual_drift,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2012,B,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2013,A,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2013,B,unknown_three_stage,adequate,fixed_allocation,frequency_or_ace_failure
final_ood,2013,B,unknown_three_stage,adequate,nominal_mpc,frequency_or_ace_failure
final_ood,2013,B,unknown_three_stage,adequate,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2013,B,unknown_three_stage,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2013,B,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2014,A,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2014,B,current_limit_q,scarce,fixed_allocation,frequency_or_ace_failure
final_ood,2014,B,current_limit_q,scarce,nominal_mpc,frequency_or_ace_failure
final_ood,2014,B,current_limit_q,scarce,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2014,B,current_limit_q,scarce,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2014,B,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2015,A,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2015,B,multiple_switches,critical,fixed_allocation,frequency_or_ace_failure
final_ood,2015,B,multiple_switches,critical,nominal_mpc,frequency_or_ace_failure
final_ood,2015,B,multiple_switches,critical,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2015,B,multiple_switches,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2015,B,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2016,A,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2016,B,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2017,A,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2017,B,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2018,A,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2018,B,gradual_drift,critical,fixed_allocation,frequency_or_ace_failure
final_ood,2018,B,gradual_drift,critical,nominal_mpc,frequency_or_ace_failure
final_ood,2018,B,gradual_drift,critical,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2018,B,gradual_drift,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2018,B,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2019,A,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2019,B,unknown_three_stage,adequate,fixed_allocation,frequency_or_ace_failure
final_ood,2019,B,unknown_three_stage,adequate,nominal_mpc,frequency_or_ace_failure
final_ood,2019,B,unknown_three_stage,adequate,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2019,B,unknown_three_stage,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2019,B,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2020,A,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2020,B,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2021,A,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2021,B,multiple_switches,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2021,B,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2022,A,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2022,B,asymmetric,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2022,B,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2023,A,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2023,B,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2024,A,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2024,B,gradual_drift,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2024,B,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2025,A,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2025,B,unknown_three_stage,adequate,fixed_allocation,frequency_or_ace_failure
final_ood,2025,B,unknown_three_stage,adequate,nominal_mpc,frequency_or_ace_failure
final_ood,2025,B,unknown_three_stage,adequate,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2025,B,unknown_three_stage,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2025,B,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2026,A,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2026,B,current_limit_q,scarce,fixed_allocation,frequency_or_ace_failure
final_ood,2026,B,current_limit_q,scarce,nominal_mpc,frequency_or_ace_failure
final_ood,2026,B,current_limit_q,scarce,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2026,B,current_limit_q,scarce,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2026,B,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2027,A,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2027,B,multiple_switches,critical,fixed_allocation,frequency_or_ace_failure
final_ood,2027,B,multiple_switches,critical,nominal_mpc,frequency_or_ace_failure
final_ood,2027,B,multiple_switches,critical,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2027,B,multiple_switches,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2027,B,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2028,A,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2028,B,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2029,A,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2029,B,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2030,A,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2030,B,gradual_drift,critical,fixed_allocation,frequency_or_ace_failure
final_ood,2030,B,gradual_drift,critical,nominal_mpc,frequency_or_ace_failure
final_ood,2030,B,gradual_drift,critical,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2030,B,gradual_drift,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2030,B,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2031,A,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2031,B,unknown_three_stage,adequate,fixed_allocation,frequency_or_ace_failure
final_ood,2031,B,unknown_three_stage,adequate,nominal_mpc,frequency_or_ace_failure
final_ood,2031,B,unknown_three_stage,adequate,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2031,B,unknown_three_stage,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2031,B,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2032,A,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2032,B,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2033,A,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2033,B,multiple_switches,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2033,B,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2034,A,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
