split,scenario,method,scientific_success,frequency_iae,ace_iae,max_abs_frequency_hz
final_ood,asymmetric,fixed_allocation,1.0,6.085176093166641,1.5783646290526034,0.09457011022013254
final_ood,asymmetric,nominal_mpc,1.0,6.085176093166641,1.5783646290526034,0.09457011022013254
final_ood,asymmetric,proposed_set_adaptive_mpc,1.0,1.830039142984619,0.4900359797586294,0.09204183147383135
final_ood,asymmetric,rls_adaptive_mpc,1.0,5.038451253460308,0.8818354822375212,0.09446913212661129
final_ood,asymmetric,robust_capability_set_mpc,1.0,1.756134018006338,0.4023739399449162,0.09204261305940753
final_ood,asymmetric,sg_only_pi,1.0,7.7258943150609145,4.700467082066368,0.09204417634428681
final_ood,compound_headroom_delay,O2_current_capability_nmpc,1.0,12.351635601848361,8.52472253010713,0.2114026249354024
final_ood,compound_headroom_delay,fixed_allocation,1.0,10.117639383876162,2.3942106027321155,0.16140691460150414
final_ood,compound_headroom_delay,nominal_mpc,1.0,10.117639383876162,2.3942106027321155,0.16140691460150414
final_ood,compound_headroom_delay,proposed_set_adaptive_mpc,1.0,3.924855506752728,2.217076833748181,0.14941276544817436
final_ood,compound_headroom_delay,rls_adaptive_mpc,1.0,8.90912072310383,1.5569233057016705,0.1623980992444103
final_ood,compound_headroom_delay,robust_capability_set_mpc,1.0,2.8912792492493686,0.9380615547901882,0.14798407851808912
final_ood,compound_headroom_delay,sg_only_pi,1.0,11.795182482223202,7.188693194696507,0.1479127678074696
final_ood,current_limit_q,O2_current_capability_nmpc,0.75,59.651293398511626,34.76626877424297,0.6085388524713449
final_ood,current_limit_q,fixed_allocation,0.75,40.79001567918792,26.00487475662871,0.5010722067848752
final_ood,current_limit_q,nominal_mpc,0.75,40.79001567918792,26.00487475662871,0.5010722067848752
final_ood,current_limit_q,proposed_set_adaptive_mpc,1.0,1.7870216802391963,0.4660395456570823,0.09204183147383135
final_ood,current_limit_q,rls_adaptive_mpc,0.75,44.088431375570416,28.417623859148453,0.45848904423632997
final_ood,current_limit_q,robust_capability_set_mpc,1.0,1.756134018006338,0.4023739399449162,0.09204261305940753
final_ood,current_limit_q,sg_only_pi,1.0,7.7258943150609145,4.700467082066368,0.09204417634428681
final_ood,gradual_drift,O2_current_capability_nmpc,0.5,33.42253774065764,17.582377202076866,0.6535583215855799
final_ood,gradual_drift,fixed_allocation,0.7777777777777778,18.71549332806532,8.01590253470122,0.4414505146752215
final_ood,gradual_drift,nominal_mpc,0.7777777777777778,18.71549332806532,8.01590253470122,0.4414505146752215
final_ood,gradual_drift,proposed_set_adaptive_mpc,1.0,2.746135097901357,1.5652240187098065,0.085876309122528
final_ood,gradual_drift,rls_adaptive_mpc,0.7777777777777778,18.220420592633612,7.708890746285523,0.4405212270790964
final_ood,gradual_drift,robust_capability_set_mpc,1.0,1.6473686306434194,0.37455164319701795,0.08587700386526237
final_ood,gradual_drift,sg_only_pi,1.0,7.289665605842452,4.436167727894394,0.08587839345182174
final_ood,multiple_switches,O2_current_capability_nmpc,0.5,207.84437861018895,150.80142465359353,2.6518050151258015
final_ood,multiple_switches,fixed_allocation,0.75,77.69823851296469,50.25433049574081,1.1293238284168319
final_ood,multiple_switches,nominal_mpc,0.75,77.69823851296469,50.25433049574081,1.1293238284168319
final_ood,multiple_switches,proposed_set_adaptive_mpc,1.0,7.101701614006714,3.926198849164306,0.20907584020755923
final_ood,multiple_switches,rls_adaptive_mpc,0.75,33.4725365391733,16.99836068775714,0.6329101206451401
final_ood,multiple_switches,robust_capability_set_mpc,1.0,4.240044527798014,1.5408740133546466,0.20907584020755923
final_ood,multiple_switches,sg_only_pi,1.0,12.554221396253032,7.57047592725863,0.20907584020755923
final_ood,unknown_three_stage,O2_current_capability_nmpc,0.5,99.09317898409215,64.78242392334137,1.3168149219427805
final_ood,unknown_three_stage,fixed_allocation,0.5,75.18310758635346,48.493882373776984,1.1525225235679482
final_ood,unknown_three_stage,nominal_mpc,0.5,75.18310758635346,48.493882373776984,1.1525225235679482
final_ood,unknown_three_stage,proposed_set_adaptive_mpc,1.0,3.247535859896014,1.3399729597648888,0.14675667563045394
final_ood,unknown_three_stage,rls_adaptive_mpc,0.5,102.34195374845974,70.18480147821307,1.5371733457633403
final_ood,unknown_three_stage,robust_capability_set_mpc,1.0,2.734982325389529,0.8707652375358235,0.14048065478263388
final_ood,unknown_three_stage,sg_only_pi,1.0,11.334337683629762,6.908360773322544,0.1404172674843054
