point_id,period_s,sg_tension,load_magnitude_pu,power_spread_pu,ramp_spread_pu_per_s,delay_spread_s,noise_std_pu,soc,tie_loading_pu,objective,candidate_count,robust_cost,perfect_information_cost,perfect_information_value,heuristic_value,maximum_safe_probe_upper_value,maximum_exact_probe_value,region,selected_probe_id,no_probe_reason,registered_probe_count,safe_probe_count,evaluated_probe_count,all_safe_probes_evaluated,solver_attempts,solver_failures,elapsed_s
B1_LHS_0411,4.0,low,0.02637061118586813,0.028923306788726066,0.01786207795752504,0.9197119145014451,0.0009603520892442778,0.37817790635883436,0.01870043068589728,balanced,8,1.9593593506758935,1.9593593429659844,7.709909155551031e-09,0.002987603947848293,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.0293537999968976
B1_LHS_0412,2.0,medium,0.032063974880375296,0.0008660191537485593,0.00825689340170986,1.2764759672234431,0.0017719618660849612,0.685464492953237,0.024555169541186476,regional_responsibility,8,2.780123201824403,2.780123185252733,1.6571670258258564e-08,0.060814870329937244,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,180,180,0,False,9,0,2.171227499988163
B1_LHS_0413,4.0,low,0.018464645325257805,0.03297102201270682,0.029015574122319754,0.659571632486618,0.00062404797347348,0.40915954623382983,0.01752998074351798,resource_economy,8,1.145208614706917,1.14520861885113,-4.144212972789774e-09,-0.0046820439032362,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.0516211000212934
B1_LHS_0414,2.0,high,0.05152562105396208,0.022422790504833073,0.011617104791369445,1.222514650817115,0.0015158782244307127,0.6028293874084796,0.0336569848937228,balanced,8,4.638777258527975,4.638777244125823,1.4402152359593856e-08,0.06655115001412477,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,180,180,0,False,9,0,2.239825099997688
B1_LHS_0415,4.0,high,0.017985805065626522,0.02981337799135085,0.011916922797366104,0.4012896507914496,0.0009550072170197623,0.5737861785579221,0.011555384133359463,regional_responsibility,8,1.1592953215526354,1.1592953100402825,1.1512352848797036e-08,-0.0025146678070669393,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,60,60,0,False,9,0,1.0514410000178032
B1_LHS_0416,4.0,high,0.03738613726246205,0.034912577706097056,0.02626806995935642,1.2823450028157215,0.0005144125404492738,0.5167998185717279,0.012357149460168587,resource_economy,8,3.048464859853349,3.0484648378071744,2.2046174663614693e-08,-0.0032847466838450065,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,60,60,0,False,9,0,1.0625709000159986
B1_LHS_0417,4.0,high,0.055433247638652434,0.012449533592275217,0.023899412194309164,0.4317276010169257,0.0009422430850082072,0.41292345326190716,0.020033891839832778,balanced,8,6.857733201109496,6.857733183294652,1.7814843822350213e-08,0.001557447709126053,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,60,60,0,False,9,0,1.0877851999830455
B1_LHS_0418,2.0,high,0.04680843292014185,0.01240549531601879,0.018980781550275595,0.9108503076474463,0.0005490234313937868,0.6558816146145452,0.03494729335747837,regional_responsibility,8,5.784627846923219,5.78462783266896,1.4254259106394329e-08,0.07293242864503818,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,180,180,0,False,9,0,2.315071499993792
B1_LHS_0419,4.0,high,0.040559684652440496,0.02933519037510452,0.023944312085260527,0.028213826773691112,0.0007634786184638066,0.33064184896432747,0.015150208929111744,resource_economy,8,3.6728543071126305,3.672854311260626,-4.147995280590067e-09,-0.007126830998088559,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.0099766999774147
B1_LHS_0420,4.0,low,0.04194767073426177,0.022293598320217437,0.02575919736878318,0.32218845124114104,0.0015624403021354467,0.6586587088986116,0.03150329721183718,balanced,8,5.117792230044825,5.117792229271864,7.729603623829462e-10,-0.0016698589265788794,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.0520103999879211
