point_id,period_s,sg_tension,load_magnitude_pu,power_spread_pu,ramp_spread_pu_per_s,delay_spread_s,noise_std_pu,soc,tie_loading_pu,objective,nominal_frequency_hz
B1_ADAPT_0095,4.0,medium,0.0679516413583531,0.0338680406887363,0.0205805563088647,0.1690464383928759,0.0017931302633853,0.7,0.0110244864690939,resource_economy,50.0
B1_ADAPT_0096,2.0,medium,0.0601854736258933,0.0311924383208287,0.0,0.4358745292655339,0.0014877307809951,0.4199476074740021,0.0377208515632829,resource_economy,50.0
B1_ADAPT_0097,4.0,medium,0.0661435846900912,0.0097995469668869,0.0,0.2807743882194604,0.0008116440999099,0.6199051818434298,0.0365156283226514,resource_economy,50.0
B1_ADAPT_0098,2.0,high,0.0737646732146905,0.0108194263582539,0.0111708225097444,1.0844405429496795,0.0015867246871966,0.3898535745820425,0.0296894572877039,resource_economy,50.0
B1_ADAPT_0099,4.0,medium,0.0700122979071651,0.0349372666752475,0.0199970398042819,0.0677504126830889,0.0016246227473864,0.6891270010491273,0.0156977958254752,resource_economy,50.0
B1_ADAPT_0100,2.0,low,0.075,0.0230293057357274,0.0231961873231461,0.1383313293162799,0.0010932094013915,0.3998983257518888,0.0220938701027335,resource_economy,50.0
B1_ADAPT_0101,4.0,medium,0.075,0.030896777491396,0.0198931373955851,0.2044155106777402,0.001515452891503,0.6865544024885567,0.0044378261828958,resource_economy,50.0
B1_ADAPT_0102,2.0,medium,0.015,0.0171876564957865,0.035,1.3,0.0018556177706383,0.5357887314417294,0.0379393072164093,resource_economy,50.0
B1_ADAPT_0103,2.0,medium,0.015,0.0136845005909938,0.0212825914949018,0.8439550433387012,0.0011127126483749,0.3848112889309153,0.0315442591998877,regional_responsibility,50.0
B1_ADAPT_0104,4.0,medium,0.075,0.030517817205528,0.0058605207183521,0.5043181363961543,0.0015757238183482,0.5849126215825093,0.0,resource_economy,50.0
B1_ADAPT_0105,4.0,low,0.0550527868409669,0.0045218657587297,0.0333117809110219,0.5252122175732236,0.0010201922500471,0.5684051383589855,0.0326141296677962,resource_economy,50.0
B1_ADAPT_0106,4.0,high,0.0594901201376683,0.0287557479313233,0.0146149962430352,0.6940279002537135,0.0018269024125187,0.3863852221131265,0.011991380508659,resource_economy,50.0
B1_ADAPT_0107,2.0,high,0.0632515813462722,0.0010404831555967,0.0107716490302463,0.7132901507657261,0.0015563687635822,0.3002201811621041,0.0306446580795412,resource_economy,50.0
B1_ADAPT_0108,4.0,high,0.0664908699569628,0.0176439664600942,0.031820228857211,1.268180321292643,0.0016573046705717,0.4559643379890746,0.0059111496166455,resource_economy,50.0
B1_ADAPT_0109,4.0,medium,0.0639308413432026,0.0107494201987407,0.019239566769475,0.3463668725956114,0.0010267716917546,0.3886458533087434,0.0339263040776763,resource_economy,50.0
B1_ADAPT_0110,4.0,high,0.0634800072179276,0.035,0.0097985186266897,1.054802669823662,0.0016323423908557,0.4873207720126619,0.0081152262584183,resource_economy,50.0
B1_ADAPT_0111,2.0,medium,0.015,0.011715552498626,0.005041021283911,1.177961574714509,0.0005,0.6479336743929294,0.04,resource_economy,50.0
B1_ADAPT_0112,2.0,medium,0.075,0.0292551518318021,0.0052007632296267,0.3899580929308034,0.0019591338687044,0.4321084879562327,0.0300382692100295,resource_economy,50.0
B1_ADAPT_0113,4.0,high,0.0643390513922751,0.0340217336698588,0.0066882173125402,0.7831391856784341,0.0007620898990872,0.6296391738401094,0.0117906517584392,resource_economy,50.0
B1_ADAPT_0114,4.0,medium,0.075,0.0046583590957257,0.035,0.2883231498001685,0.0010680735846275,0.4653012771801689,0.0293346897701189,resource_economy,50.0
B1_ADAPT_0115,4.0,low,0.0677167283628005,0.0129683477842176,0.0040152102757997,0.684944166304419,0.000905610423015,0.3535958812164303,0.0103379450129668,resource_economy,50.0
B1_ADAPT_0116,4.0,medium,0.075,0.0285505525234164,0.0081704121212697,0.3051158923992919,0.0019731464159658,0.7,0.0050705462137814,resource_economy,50.0
B1_ADAPT_0117,4.0,medium,0.075,0.0272656335718962,0.0235438922204613,0.8214240258321637,0.0008592114125286,0.5023427790905173,0.04,resource_economy,50.0
B1_ADAPT_0118,4.0,medium,0.075,0.035,0.0121797143339837,0.5328119332691494,0.0016570349162021,0.7,0.0128279764061074,resource_economy,50.0
B1_ADAPT_0119,4.0,medium,0.0632688442113153,0.035,0.0104406461253959,0.4272114463761947,0.0018629962103847,0.7,0.0012429587897427,resource_economy,50.0
B1_ADAPT_0120,2.0,high,0.0707711245750106,0.0069069201884888,0.0012227484335483,0.8000173297749203,0.0014397843694109,0.3696511433836941,0.0386226133675888,resource_economy,50.0
B1_ADAPT_0121,2.0,low,0.0575767297077004,0.0113583572731222,0.0212615172032573,0.6141101471268323,0.0018638536986574,0.4234244391660255,0.0377617194325845,resource_economy,50.0
B1_ADAPT_0122,4.0,medium,0.075,0.0125805753578865,0.0,0.1207611763096871,0.0009197312776647,0.6576521593033527,0.04,resource_economy,50.0
B1_ADAPT_0123,4.0,medium,0.0747464218906696,0.0,0.0084713185429501,0.9107750811153692,0.0014020205207119,0.4385149249726739,0.0241045484141808,resource_economy,50.0
B1_ADAPT_0124,4.0,medium,0.075,0.010720060530198,0.0237510555094551,0.9753512419192276,0.0014199888442105,0.3,0.0097739508632643,resource_economy,50.0
B1_ADAPT_0125,2.0,medium,0.0612923955845805,0.0312268762774876,0.0007407067769068,0.5021931777854453,0.0017316680681418,0.5176951569832953,0.021165225618514,resource_economy,50.0
B1_ADAPT_0126,2.0,medium,0.0591038918357905,0.0145740869614639,0.0172777123305741,0.0977890107422417,0.0016955695828234,0.4638480937083499,0.0291488455320217,resource_economy,50.0
B1_ADAPT_0127,4.0,medium,0.0622966491814361,0.0179194638231368,0.0035697865596809,0.0,0.0016625363749337,0.6157897518655444,0.0091136637665873,resource_economy,50.0
B1_ADAPT_0128,4.0,medium,0.0688622918724873,0.0239604269272851,0.0123241864404299,0.1516481118783795,0.0014618527899763,0.7,0.0279239152348703,resource_economy,50.0
B1_ADAPT_0129,4.0,medium,0.0718999798178915,0.019352450270781,0.0039480312438047,1.0494859724815055,0.0016791180595633,0.4833389217815375,0.0105641921639704,resource_economy,50.0
B1_ADAPT_0130,2.0,high,0.065668014313145,0.0095586819607737,0.0,1.16749493962316,0.0010603567341087,0.3344067298536872,0.0398065155233279,resource_economy,50.0
B1_ADAPT_0131,4.0,medium,0.0612119093373565,0.0073828008469703,0.0140563237322382,0.0244753825026724,0.001779351624256,0.6514266725714747,0.0148045250883177,resource_economy,50.0
B1_ADAPT_0132,2.0,medium,0.015,0.0283673087661762,0.0192201982789546,0.6411018196756846,0.0011447033267457,0.3329661224898697,0.0387621824423543,regional_responsibility,50.0
B1_ADAPT_0133,4.0,high,0.0618154347595615,0.0194055149676115,0.0217970707215661,1.2814245581751749,0.0019092931069441,0.4199145509951113,0.0157802686780848,resource_economy,50.0
