source,metric,analysis,penalty_multiplier,field,recomputed,package,absolute_difference,within_tolerance,scope,category,quantity,plant,mechanism,sg_tension
CORRECTED_METRIC_SUMMARY,tie_rms_pu,both_success,<NA>,paired_scenarios,88,88,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,both_success,<NA>,design_cells,24,24,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,both_success,<NA>,scenario_balanced_proposed_mean,0.003682511746641373,0.0036825117466413,7.32920668600201e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,both_success,<NA>,scenario_balanced_baseline_mean,0.0033764365786600327,0.00337643657866,3.252606517456513e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,both_success,<NA>,paired_absolute_difference,-0.0003060751679813405,-0.0003060751679813,4.049495114233359e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,both_success,<NA>,aggregate_mean_relative_improvement,-0.09065035307217557,-0.0906503530721755,6.938893903907228e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,both_success,<NA>,diagnostic_only_mean_episode_relative_ratio,-0.1288375257770535,-0.1288375257770535,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,1.5,paired_scenarios,110,110,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,1.5,design_cells,24,24,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,1.5,scenario_balanced_proposed_mean,0.005327941860729738,0.0053279418607297,3.729655473350135e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,1.5,scenario_balanced_baseline_mean,0.004892338554114657,0.0048923385541146,5.724587470723463e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,1.5,paired_absolute_difference,-0.00043560330661508023,-0.000435603306615,8.023096076392733e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,1.5,aggregate_mean_relative_improvement,-0.08903785005817309,-0.089037850058173,9.71445146547012e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,1.5,diagnostic_only_mean_episode_relative_ratio,-0.21425272650520585,-0.2142527265052058,5.551115123125783e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,2.0,paired_scenarios,110,110,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,2.0,design_cells,24,24,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,2.0,scenario_balanced_proposed_mean,0.00605778350339813,0.0060577835033981,3.0357660829594124e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,2.0,scenario_balanced_baseline_mean,0.0055258913376164745,0.0055258913376164,7.45931094670027e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,2.0,paired_absolute_difference,-0.0005318921657816557,-0.0005318921657816,5.572799166575493e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,2.0,aggregate_mean_relative_improvement,-0.09625454669383363,-0.0962545466938336,2.7755575615628914e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,2.0,diagnostic_only_mean_episode_relative_ratio,-0.2604045375573026,-0.2604045375573026,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,3.0,paired_scenarios,110,110,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,3.0,design_cells,24,24,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,3.0,scenario_balanced_proposed_mean,0.007517466788734914,0.0075174667887349,1.3877787807814457e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,3.0,scenario_balanced_baseline_mean,0.006792996904620106,0.0067929969046201,6.071532165918825e-18,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,3.0,paired_absolute_difference,-0.0007244698841148076,-0.0007244698841148,7.589415207398531e-18,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,3.0,aggregate_mean_relative_improvement,-0.10664952366194594,-0.1066495236619459,4.163336342344337e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,tie_rms_pu,failure_aware,3.0,diagnostic_only_mean_episode_relative_ratio,-0.3527081596614961,-0.3527081596614961,0.0,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,both_success,<NA>,absolute_difference_lower,-0.08115933803131713,-0.0811593380313171,2.7755575615628914e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,both_success,<NA>,absolute_difference_median,0.06157507536606288,0.0615750753660628,8.326672684688674e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,both_success,<NA>,absolute_difference_upper,0.22634755760312286,0.2263475576031228,5.551115123125783e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,both_success,<NA>,relative_improvement_lower,-0.04586615631786532,-0.0458661563178653,2.0816681711721685e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,both_success,<NA>,relative_improvement_median,0.032616974069085355,0.0326169740690853,5.551115123125783e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,both_success,<NA>,relative_improvement_upper,0.11107060450028053,0.1110706045002805,2.7755575615628914e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,1.5,absolute_difference_lower,-0.18689896023017266,-0.1868989602301726,5.551115123125783e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,1.5,absolute_difference_median,0.013131976596707728,0.0131319765967077,2.7755575615628914e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,1.5,absolute_difference_upper,0.19955548497380246,0.1995554849738024,5.551115123125783e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,1.5,relative_improvement_lower,-0.07483110068542077,-0.0748311006854207,6.938893903907228e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,1.5,relative_improvement_median,0.005267769328543738,0.0052677693285437,3.729655473350135e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,1.5,relative_improvement_upper,0.08544832680877729,0.0854483268087772,8.326672684688674e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,2.0,absolute_difference_lower,-0.29661061001225847,-0.2966106100122584,5.551115123125783e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,2.0,absolute_difference_median,-0.025395812787878835,-0.0253958127878788,3.469446951953614e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,2.0,absolute_difference_upper,0.1901137968342954,0.1901137968342954,0.0,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,2.0,relative_improvement_lower,-0.09891688532198777,-0.0989168853219877,6.938893903907228e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,2.0,relative_improvement_median,-0.009321056097915621,-0.0093210560979156,2.0816681711721685e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,2.0,relative_improvement_upper,0.0761880485801833,0.0761880485801833,0.0,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,3.0,absolute_difference_lower,-0.5702398421344667,-0.5702398421344667,0.0,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,3.0,absolute_difference_median,-0.09139195441687598,-0.0913919544168759,6.938893903907228e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,3.0,absolute_difference_upper,0.18257067656161213,0.1825706765616121,2.7755575615628914e-17,True,,,,,,
HIERARCHICAL_BOOTSTRAP,ace_iae_pu_s,failure_aware,3.0,relative_improvement_lower,-0.15800311663090605,-0.158003116630906,5.551115123125783e-17,True,,,,,,
