period_s,delay_s,left_vertex_s,right_vertex_s,matrix_inf_error,bounded_state_error_inf
4.0,1.3193777777777778,1.0,1.6,0.04888864204132748,0.005274497679124749
4.0,1.324375,1.0,1.6,0.048946874552425856,0.00528331673248854
4.0,1.3293722222222222,1.0,1.6,0.04897531055483473,0.005288903699445352
4.0,1.3343694444444445,1.0,1.6,0.048973656516011266,0.005291222531761912
4.0,1.3393666666666666,1.0,1.6,0.048941624200738776,0.005290237762643559
4.0,1.344363888888889,1.0,1.6,0.04887893073741484,0.0052859145147523155
4.0,1.349361111111111,1.0,1.6,0.04878529868343906,0.005278218508125312
4.0,1.3543583333333333,1.0,1.6,0.04866045608966618,0.0052671160679913466
4.0,1.3593555555555554,1.0,1.6,0.04850413656392394,0.005252574132484379
4.0,1.3643527777777777,1.0,1.6,0.048316079333579454,0.0052345602602521185
4.0,1.36935,1.0,1.6,0.04809602930713891,0.005213042637957926
4.0,1.3743472222222222,1.0,1.6,0.047843737134862396,0.005187990087674329
4.0,1.3793444444444445,1.0,1.6,0.04755895926839068,0.005159372074166916
4.0,1.3843416666666666,1.0,1.6,0.04724145801936072,0.005127158712066489
4.0,1.389338888888889,1.0,1.6,0.04689100161700083,0.00509132077292817
4.0,1.394336111111111,1.0,1.6,0.046507364264695455,0.005051829692175834
4.0,1.3993333333333333,1.0,1.6,0.046090326195498715,0.0050086575759301566
4.0,1.4043305555555556,1.0,1.6,0.04563967372659161,0.004961777207719036
4.0,1.4093277777777777,1.0,1.6,0.045155199312669314,0.004911162055068565
4.0,1.414325,1.0,1.6,0.044636701598238904,0.004856786275973162
4.0,1.4193222222222222,1.0,1.6,0.044083985468827136,0.0047986247252435185
4.0,1.4243194444444445,1.0,1.6,0.043496862101078004,0.004736652960730759
4.0,1.4293166666666666,1.0,1.6,0.042875149011726676,0.0046708472494251425
4.0,1.4343138888888889,1.0,1.6,0.04221867010544833,0.004601184573428513
4.0,1.4393111111111112,1.0,1.6,0.04152725572156227,0.004527642635798577
4.0,1.4443083333333333,1.0,1.6,0.04080074267957934,0.004450199866263746
4.0,1.4493055555555556,1.0,1.6,0.04003897432358944,0.004368835426807354
4.0,1.4543027777777777,1.0,1.6,0.03924180056546789,0.00428352921711962
4.0,1.4593,1.0,1.6,0.038409077926902735,0.004194261879916686
4.0,1.4642972222222221,1.0,1.6,0.037540669580219455,0.004101014806124386
4.0,1.4692944444444445,1.0,1.6,0.03663644538800259,0.004003770139926703
4.0,1.4742916666666666,1.0,1.6,0.0356962819415024,0.0039025107836768453
4.0,1.4792888888888889,1.0,1.6,0.034720062597809465,0.003797220402669745
4.0,1.4842861111111112,1.0,1.6,0.03370767751580389,0.003687883429775855
4.0,1.4892833333333333,1.0,1.6,0.03265902369084761,0.0035744850699331388
4.0,1.4942805555555556,1.0,1.6,0.03157400498823448,0.003457011304498224
4.0,1.4992777777777777,1.0,1.6,0.030452532175372304,0.0033354488954542446
4.0,1.504275,1.0,1.6,0.02929452295269258,0.0032097853894745842
4.0,1.5092722222222221,1.0,1.6,0.028099901983285214,0.003080009121841925
4.0,1.5142694444444444,1.0,1.6,0.026868600921243713,0.0029461092202209926
4.0,1.5192666666666665,1.0,1.6,0.02560055843871384,0.002808075608284073
4.0,1.5242638888888889,1.0,1.6,0.024295720251643893,0.002665899009189213
4.0,1.5292611111111112,1.0,1.6,0.022954039144218563,0.002519570948908275
4.0,1.5342583333333333,1.0,1.6,0.021575474991981647,0.0023690837594063006
4.0,1.5392555555555556,1.0,1.6,0.020159994783630786,0.0022144305816691624
4.0,1.5442527777777777,1.0,1.6,0.018707572641481596,0.002055605368579957
4.0,1.54925,1.0,1.6,0.017218189840598253,0.0018926028876429693
4.0,1.5542472222222221,1.0,1.6,0.01569183482657488,0.0017254187235540787
4.0,1.5592444444444444,1.0,1.6,0.01412850323197229,0.001554049280617189
4.0,1.5642416666666668,1.0,1.6,0.012528197891397419,0.001378491785005794
4.0,1.5692388888888888,1.0,1.6,0.010890928855225857,0.0011987442868691936
4.0,1.5742361111111112,1.0,1.6,0.009216713401950793,0.0010148056622819343
4.0,1.5792333333333333,1.0,1.6,0.007505576049174345,0.0008266756150370089
4.0,1.5842305555555556,1.0,1.6,0.005757548563210202,0.0006343546782808218
4.0,1.5892277777777777,1.0,1.6,0.003972669967318709,0.00043784421599066926
4.0,1.594225,1.0,1.6,0.002150986548548506,0.00023714642429260133
4.0,1.5992222222222223,1.0,1.6,0.00029255186319920856,3.226433262123463e-05
4.0,1.6042194444444444,1.6,1.999,0.0013573399068728675,0.0001466674227568229
4.0,1.6092166666666667,1.6,1.999,0.002931954930953884,0.0003172366029630498
4.0,1.6142138888888888,1.6,1.999,0.004470550822733732,0.00048435840004311625
4.0,1.6192111111111112,1.6,1.999,0.005972801477149903,0.000647981432345575
4.0,1.6242083333333333,1.6,1.999,0.00743838703176572,0.0008080548848484719
4.0,1.6292055555555556,1.6,1.999,0.008866993953500213,0.0009645285199538228
4.0,1.6342027777777777,1.6,1.999,0.010258315124383466,0.0011173526881903737
4.0,1.6392,1.6,1.999,0.011612049926312394,0.00126647833882068
4.0,1.6441972222222223,1.6,1.999,0.012927904324790358,0.0014118570303529967
4.0,1.6491944444444444,1.6,1.999,0.014205590951626948,0.0015534409409528763
4.0,1.6541916666666667,1.6,1.999,0.015444829186596287,0.001691182878754934
4.0,1.6591888888888888,1.6,1.999,0.016645345238002762,0.001825036292069859
4.0,1.6641861111111111,1.6,1.999,0.01780687222217331,0.0019549552794874132
4.0,1.6691833333333332,1.6,1.999,0.018929150241829118,0.002080894599870698
4.0,1.6741805555555556,1.6,1.999,0.020011926463333496,0.0022028096822415398
4.0,1.6791777777777777,1.6,1.999,0.021054955192792102,0.0023206566355529275
4.0,1.684175,1.6,1.999,0.022057997950990088,0.002434392258348722
4.0,1.6891722222222223,1.6,1.999,0.02302082354714985,0.002543974048306352
4.0,1.6941694444444444,1.6,1.999,0.02394320815148329,0.002649360211661869
4.0,1.6991666666666667,1.6,1.999,0.024824935366538084,0.0027505096725146316
4.0,1.7041638888888888,1.6,1.999,0.02566579629730016,0.0028473820820099326
4.0,1.7091611111111111,1.6,1.999,0.026465589620055137,0.002939937827397412
4.0,1.7141583333333332,1.6,1.999,0.02722412164997485,0.0030281380409632654
